Fasta headers,P,P,P,TPA,TPA,TPA,BHET,BHET,BHET,PET,PET,PET,PETB,PETB,PETB
GFJPDDAG_01185 Cystathionine gamma-synthase/O-acetylhomoserine (thiol)-lyase,22.97788,22.76788,22.03829,20.05429,19.85989,20.52057,19.49884,21.52225,19.46898,21.25795,20.29908,19.85687,22.91271,20.89804,19.43307
GFJPDDAG_01193 Spermidine N(1)-acetyltransferase,18.92161,19.36623,20.12906,20.59279,21.03058,20.37715,19.52521,20.34599,19.91727,21.74393,20.38033,21.71433,21.40868,19.48286,20.64092
GFJPDDAG_01200 Nuclease SbcCD subunit C,22.33263,23.83605,21.48488,22.49057,19.86557,19.50941,19.91148,20.63353,20.45061,20.9056,20.82399,20.49736,23.02673,21.53496,21.20695
GFJPDDAG_01201 Nuclease SbcCD subunit D,19.10403,21.71427,19.26218,20.36325,19.93141,20.08166,20.90153,21.40448,20.00196,21.29348,20.52069,20.37139,21.03112,19.27034,20.26222
GFJPDDAG_01205 hypothetical protein,24.81529,23.59719,25.87879,24.86283,24.61566,24.16185,25.19974,24.34888,24.75898,24.26571,25.90894,24.60286,23.23488,19.91425,21.27164
GFJPDDAG_01214 hypothetical protein,21.54854,21.49751,22.01556,20.78078,22.38777,21.39943,23.56639,24.32203,22.86282,19.46658,21.57085,22.00319,21.3265,20.84283,21.12286
GFJPDDAG_01216 Transketolase,26.73854,25.2497,26.11969,20.50562,20.1342,20.54832,19.91775,22.19466,21.48665,21.82001,22.60673,20.49428,21.78083,19.87103,20.55542
GFJPDDAG_01220 LexA repressor,22.61731,23.10735,22.66659,20.23702,19.66033,20.47689,19.99251,19.21986,19.76116,20.22504,20.12795,20.36088,22.01491,20.41893,20.18306
GFJPDDAG_01221 Glutamine synthetase,27.06353,27.13193,26.60286,22.18946,23.65196,24.87155,24.38416,23.62377,24.47104,24.63583,23.75001,24.24844,23.26343,20.62885,20.43628
GFJPDDAG_01224 GTPase HflX,20.06524,21.79812,18.76206,20.62615,19.77551,20.47659,20.59906,20.74466,20.52177,20.65886,20.81978,21.06912,21.87263,19.63941,20.09387
GFJPDDAG_01227 RNA-binding protein Hfq,25.14961,27.17503,25.09579,19.27891,20.19403,21.39405,24.58474,24.9152,24.19061,23.27427,20.47675,19.52357,21.43093,21.48763,20.946
GFJPDDAG_01229 Penicillin acylase 2,19.60915,21.2535,20.43716,20.37675,22.26431,20.3672,23.41364,22.55086,23.1915,20.97625,22.33282,22.75625,22.51941,21.2429,20.70947
GFJPDDAG_01238 Taurine--pyruvate aminotransferase,23.121,21.04394,21.707,20.33091,21.12,21.48535,21.19161,19.53077,19.74198,20.81147,20.02933,20.80608,20.91607,20.3036,20.25977
GFJPDDAG_01239 Methylmalonate semialdehyde dehydrogenase [acylating],25.42534,22.55054,23.48935,21.38147,23.54498,24.28588,22.22638,22.48635,22.69666,21.06116,22.53181,21.2589,22.39847,19.52759,19.17678
GFJPDDAG_01243 putative allantoin permease,23.87849,22.80516,24.62171,25.60877,25.4215,24.81025,25.19652,24.53243,24.25018,25.55327,26.12941,25.92863,22.70358,19.52364,20.85434
GFJPDDAG_01244 D-hydantoinase,26.3286,22.33734,25.27113,21.47034,21.39367,20.92194,20.4703,20.5346,20.52287,20.87364,20.78173,21.168,22.65784,21.45309,20.83861
GFJPDDAG_01245 NAD-dependent dihydropyrimidine dehydrogenase subunit PreA,22.63136,19.19565,18.33655,21.68536,21.83999,20.70382,20.36811,19.82498,20.00187,20.75007,21.33305,20.4222,22.78835,20.15949,20.47538
GFJPDDAG_01246 Glutamate synthase [NADPH] small chain,23.64384,19.44959,22.80933,19.9813,20.06826,20.93504,19.81196,19.59111,19.00774,20.58795,20.78614,20.03732,21.70675,19.76412,20.43712
GFJPDDAG_01247 N-carbamoyl-D-amino acid hydrolase,24.67417,22.43178,23.44215,21.86597,22.12641,22.0237,18.93717,21.00618,18.72349,20.5618,20.30221,22.34537,22.98092,20.71479,20.57491
GFJPDDAG_01251 Spore coat protein E,27.2803,25.16515,27.44758,25.28387,26.34367,26.06593,26.52347,26.57989,26.8147,26.35468,27.53705,27.243,22.33433,19.44682,23.91086
GFJPDDAG_01254 Spore coat protein Y,25.72567,22.51809,25.58477,20.81324,20.4389,21.28116,23.6084,19.88095,23.45086,23.09942,25.49308,25.00316,21.63896,19.95768,21.99716
GFJPDDAG_01256 hypothetical protein,19.92758,19.3397,20.3884,21.17066,20.60581,21.17683,20.53011,20.76908,22.62703,21.56499,19.67193,18.77396,22.3453,21.59907,21.42605
GFJPDDAG_01257 hypothetical protein,22.05507,21.99103,22.30561,21.1139,21.45261,20.71071,22.55873,20.63087,19.95049,20.72955,19.46398,18.89906,23.4378,19.29728,20.97857
GFJPDDAG_01259 hypothetical protein,19.90909,19.82903,21.23684,20.30427,20.49577,20.51653,19.81259,20.4897,19.58254,21.26032,20.79979,20.63841,20.93607,19.64742,21.58393
GFJPDDAG_01261 hypothetical protein,23.73995,22.93287,24.41854,20.87898,20.76442,20.31085,23.56244,23.13283,23.86325,21.2,23.90784,23.37703,22.68834,19.81771,21.36314
GFJPDDAG_01283 hypothetical protein,26.7348,22.8304,26.39573,23.78497,23.6548,21.48374,24.25926,23.97071,24.52079,20.75541,24.20672,23.42381,21.85785,20.31756,21.27697
GFJPDDAG_01285 2-oxoglutarate oxidoreductase subunit KorB,21.81029,22.06049,18.82751,21.36485,19.58593,21.15909,19.99599,21.22526,19.51081,20.43898,19.8444,20.4194,23.0045,20.08802,20.84944
GFJPDDAG_01286 2-oxoglutarate oxidoreductase subunit KorA,23.82745,24.34164,23.52037,19.61717,21.9909,21.69789,20.65845,20.19602,20.36089,20.6907,20.29779,20.37055,22.18697,19.85696,19.48152
GFJPDDAG_01290 Ribonuclease Y,24.69424,26.53407,24.30327,24.44455,23.78137,22.33309,25.76073,23.68848,25.57346,20.86352,23.67228,23.43911,22.80785,21.03907,20.67758
GFJPDDAG_01291 Protein RecA,26.33715,27.54134,25.89081,26.08073,26.22962,25.5834,26.29773,25.91538,26.2627,25.57164,25.96484,26.21605,22.42527,20.28296,19.2363
GFJPDDAG_01292 Putative competence-damage inducible protein,21.79947,22.19728,21.64249,21.49341,20.75913,20.59584,19.35126,19.95547,17.86126,20.184,21.07854,18.63218,21.83517,21.0595,21.54867
GFJPDDAG_01293 CDP-diacylglycerol--glycerol-3-phosphate 3-phosphatidyltransferase,23.87933,24.13006,24.99796,19.16814,20.59399,23.62064,20.54056,21.09073,20.00885,23.78237,24.03942,23.77274,22.40421,21.26369,20.11791
GFJPDDAG_01294 Cytoskeleton protein RodZ,22.72576,23.17155,22.69236,22.67135,23.51376,22.85893,22.45666,21.3018,22.66486,23.87314,23.08753,20.5928,23.2812,21.04361,22.13987
GFJPDDAG_01295 hypothetical protein,21.28207,21.75083,19.38903,20.19567,20.76361,21.16314,20.2511,21.00597,20.10033,19.44358,20.25863,20.32052,21.68641,19.87495,20.801
GFJPDDAG_01296 hypothetical protein,26.83388,25.50182,28.12337,26.65226,20.27079,26.05209,26.13679,24.73138,26.04185,26.12524,25.41067,24.98629,22.4448,20.28273,20.17872
GFJPDDAG_01298 Putative zinc protease AlbF,24.60744,23.95287,25.02297,18.99819,19.15967,20.27759,22.38632,21.40523,22.71077,20.57951,21.24261,20.20664,21.5559,20.76491,21.26844
GFJPDDAG_01299 Antilisterial bacteriocin subtilosin biosynthesis protein AlbE,23.98807,24.00488,24.91429,21.07661,22.58332,20.99818,22.23728,21.40108,22.1278,21.64423,23.23004,22.48173,22.99324,20.65602,20.55538
GFJPDDAG_01300 hypothetical protein,21.91276,22.38522,22.58713,20.47115,19.87331,20.24063,19.01745,20.29616,19.80584,20.01331,20.50332,21.20452,22.68004,19.27677,20.16798
GFJPDDAG_01301 hypothetical protein,19.55517,17.96267,19.81722,20.57815,20.66089,20.40895,19.86249,20.84749,19.51315,20.88361,19.62405,20.15988,22.35679,19.22715,22.72873
GFJPDDAG_01302 Galactose/methyl galactoside import ATP-binding protein MglA,22.64513,25.15677,22.26662,19.97946,23.05139,21.05253,21.81917,20.83825,22.44468,21.43128,21.38321,19.14093,21.76764,21.34404,20.24004
GFJPDDAG_01303 Membrane lipoprotein TmpC,27.11555,27.57636,27.26696,26.89839,27.11823,26.59064,27.76231,27.52917,27.56645,26.7107,27.72429,26.93843,22.28968,21.86821,21.10055
GFJPDDAG_01304 HTH-type transcriptional repressor YvoA,20.06098,19.18641,19.30301,20.25733,20.27648,21.3861,20.70885,20.53458,19.23042,21.36122,20.00302,21.10625,21.51739,20.93584,21.73794
GFJPDDAG_01305 DNA translocase SpoIIIE,18.89385,17.78197,20.11459,21.47943,19.93227,22.69296,19.51441,20.94442,20.21003,20.4459,20.93414,20.15155,21.50673,20.05423,20.64749
GFJPDDAG_01307 Translocation-enhancing protein TepA,22.55377,19.59159,23.91068,20.59156,21.58428,21.43823,19.00806,20.28049,19.72758,20.61937,18.97517,19.83743,22.4168,19.46786,21.23034
GFJPDDAG_01308 Ribonuclease J 2,24.02665,24.93787,23.5386,21.10352,22.28373,20.30131,23.51629,22.63296,22.56537,20.26628,20.85131,20.52018,21.95831,21.05396,20.84786
GFJPDDAG_01309 4-hydroxy-tetrahydrodipicolinate synthase,25.80848,25.76205,24.28482,21.33639,21.27912,22.2843,20.75491,21.87646,19.10627,21.82496,20.28785,20.54151,21.63943,19.33638,20.1386
GFJPDDAG_01311 Aspartate-semialdehyde dehydrogenase,24.31341,24.04285,23.9294,20.11498,19.34718,21.34856,20.25671,19.7214,20.89357,20.62837,19.80505,20.24441,21.5352,19.98469,21.37637
GFJPDDAG_01312 Dipicolinate synthase subunit B,21.29541,22.17554,19.17282,23.83045,23.90123,23.78925,23.05146,23.22248,23.11407,21.06294,24.1292,23.62522,21.8714,20.30536,20.73753
GFJPDDAG_01313 Dipicolinate synthase subunit A,19.1589,21.0322,19.20324,20.20214,20.9867,22.07991,21.84065,20.76923,17.74192,20.48565,19.55445,20.48765,22.19948,18.96608,21.46748
GFJPDDAG_01315 putative zinc protease,21.29058,22.04106,21.8057,20.87494,19.38183,20.31522,20.07348,21.07923,19.69876,20.57415,19.81948,20.53999,22.44372,19.59186,20.71591
GFJPDDAG_01317 Polyribonucleotide nucleotidyltransferase,26.90999,27.78955,26.50484,20.39592,23.25211,21.57274,20.61711,19.97897,22.22762,20.47289,23.21596,22.53773,21.18714,19.80168,21.37377
GFJPDDAG_01318 30S ribosomal protein S15,25.36065,26.49689,25.38093,23.29684,21.77732,23.66633,25.48855,24.89888,25.20553,24.15831,23.63821,23.4996,22.54774,20.39469,20.05347
GFJPDDAG_01319 Riboflavin biosynthesis protein RibF,20.55637,20.42788,20.34733,20.72563,20.94509,20.93092,20.83449,21.50208,19.95431,20.77747,20.91436,20.82849,22.26018,20.30008,19.71971
GFJPDDAG_01321 Ribosome-binding factor A,19.14519,19.12416,19.77773,21.41725,21.13025,21.01974,20.11716,20.40366,20.55314,20.44912,19.99494,20.69851,21.98887,20.05765,20.29276
GFJPDDAG_01323 Translation initiation factor IF-2,26.12652,25.83181,25.30751,21.90976,21.45503,20.83048,23.5122,21.08842,23.72889,22.02952,22.18147,19.67519,23.21021,20.5699,20.79935
GFJPDDAG_01325 hypothetical protein,20.77796,20.71011,21.5861,20.31938,22.61592,21.30995,22.44142,23.27923,22.81094,21.85696,22.52781,22.90165,22.31646,20.75836,20.7245
GFJPDDAG_01326 Transcription termination/antitermination protein NusA,24.5285,24.8446,24.50258,20.88573,21.72567,21.15246,20.4828,20.21916,19.98912,21.53687,20.52617,20.14622,20.35246,20.5808,20.05876
GFJPDDAG_01329 Proline--tRNA ligase,23.42701,23.90362,23.04178,20.49978,21.15959,21.26215,23.94815,20.19733,23.78686,21.2768,20.04407,20.6454,21.50875,19.3475,21.42671
GFJPDDAG_01330 Regulator of sigma-W protease RasP,22.26657,22.20102,22.96326,21.07909,24.09555,21.38611,23.88614,23.11648,23.19625,22.4678,24.54375,24.52181,21.72939,20.42406,19.69452
GFJPDDAG_01331 1-deoxy-D-xylulose 5-phosphate reductoisomerase,19.66801,21.8567,17.45981,20.738,20.63562,21.63021,20.75617,19.61615,18.61068,21.08063,19.79375,20.29587,21.51472,20.16159,21.57781
GFJPDDAG_01334 Ribosome-recycling factor,25.08087,25.11803,24.99252,21.64789,24.68587,19.81596,22.41679,23.70546,22.43911,24.81436,24.4698,24.39041,21.22653,20.75796,21.11459
GFJPDDAG_01335 Uridylate kinase,22.80812,23.09504,21.79297,19.84232,23.21199,22.14438,21.25468,21.73548,21.82594,19.58631,22.69049,20.31801,22.88233,22.09517,21.16686
GFJPDDAG_01336 Elongation factor Ts,27.37019,27.59982,26.75264,23.42496,24.83817,24.26649,20.68688,24.3765,23.32471,24.04168,24.47933,24.47222,22.57945,19.59322,20.84587
GFJPDDAG_01337 30S ribosomal protein S2,27.52216,27.48554,27.03507,25.31897,24.86745,23.50894,25.0964,24.92854,25.69073,24.16446,24.62806,23.87849,22.49783,19.88074,21.58821
GFJPDDAG_01342 Chemotaxis protein CheW,20.61566,23.30744,18.77293,20.52691,20.86888,20.98259,19.73698,20.5109,20.88166,20.4575,20.38058,20.79267,22.69406,21.22411,21.69193
GFJPDDAG_01343 Chemotaxis protein CheA,21.67513,23.76253,21.50038,20.49286,20.04377,20.19723,22.83963,19.29264,23.12745,21.6079,19.94722,19.47319,22.06598,20.37696,20.28985
GFJPDDAG_01353 Chemotaxis protein CheY,21.07927,21.75613,21.66713,21.68785,19.43084,20.16161,18.79509,20.38656,20.47949,20.38524,20.86617,19.65753,22.50997,20.40333,20.80942
GFJPDDAG_01354 Flagellar motor switch protein FliN,20.44979,21.47917,18.86232,21.33866,19.85193,21.1677,21.11341,20.36192,20.65547,21.25931,20.17332,20.20281,21.28565,21.00672,21.90532
GFJPDDAG_01357 Flagellar hook protein FlgE,19.26875,23.64856,19.0751,21.13031,24.61487,24.34888,25.47837,25.44459,25.4381,23.87605,25.02094,25.02213,21.12186,20.56656,19.89467
GFJPDDAG_01370 GTP-sensing transcriptional pleiotropic repressor CodY,27.12947,27.44451,26.40916,21.04507,24.96891,22.39409,23.23722,23.57034,23.08171,20.99549,24.07104,23.86448,22.78024,19.97707,20.63937
GFJPDDAG_01371 ATP-dependent protease ATPase subunit ClpY,25.93935,26.99583,25.50121,24.3812,24.73443,23.21804,24.8098,22.59316,24.89222,23.2218,24.68159,24.26227,21.4009,22.39175,20.68135
GFJPDDAG_01375 DNA topoisomerase 1,22.32182,21.71691,22.02503,20.99046,20.2498,21.82518,19.65782,22.01229,21.41608,20.8613,19.39897,20.63934,22.15309,18.99682,21.71556
GFJPDDAG_01377 Succinate--CoA ligase [ADP-forming] subunit alpha,26.81824,25.63079,25.89271,25.88969,25.46793,25.91598,24.83605,24.5562,24.81724,26.11688,25.27874,24.23768,21.5131,20.37517,20.80578
GFJPDDAG_01378 Succinate--CoA ligase [ADP-forming] subunit beta,27.376,26.85863,26.90816,26.02015,26.4813,26.73195,26.3899,26.44732,26.54601,25.08894,26.16869,25.80831,22.61685,20.78232,20.36086
GFJPDDAG_01382 Ribosome biogenesis GTPase A,21.98249,21.83823,19.78065,20.86689,21.17252,21.65523,20.44028,19.74026,19.98409,20.25056,20.30894,20.93549,22.3891,20.14789,20.76544
GFJPDDAG_01383 Signal peptidase I T,20.80747,20.17986,20.26313,21.41488,20.38189,21.02884,20.04683,21.07096,19.57288,20.86193,18.93653,19.79826,21.46264,20.06165,20.43124
GFJPDDAG_01384 50S ribosomal protein L19,26.4702,27.30748,26.18986,24.52856,25.44843,22.8999,26.73725,25.83853,27.03412,24.85034,25.49271,24.87511,22.2605,20.01551,20.46603
GFJPDDAG_01388 hypothetical protein,19.43225,20.71683,19.4309,20.58747,20.73249,20.61286,19.59295,20.15896,19.36809,20.22529,21.20405,20.39828,21.18461,19.33961,21.81509
GFJPDDAG_01389 30S ribosomal protein S16,22.47415,21.40291,22.38585,20.44442,20.11726,22.03099,23.79531,24.72124,23.63567,20.23519,22.42463,22.24325,21.79033,20.2326,20.57928
GFJPDDAG_01390 Signal recognition particle protein,23.03983,23.15402,22.63059,21.74406,20.16529,20.76339,21.91844,19.76678,19.22493,21.22403,18.82355,18.95811,22.36691,20.01999,20.7648
GFJPDDAG_01392 Signal recognition particle receptor FtsY,19.04066,20.7532,18.10185,21.01729,20.96974,21.56106,20.834,21.23343,19.37001,20.6582,20.60969,20.33035,21.47822,19.78769,20.70599
GFJPDDAG_01395 Acyl carrier protein,22.65879,22.74115,23.41596,20.81618,24.54103,20.05042,22.71641,23.15815,23.41171,21.39363,23.79164,22.95207,21.36823,21.40466,20.93315
GFJPDDAG_01396 3-oxoacyl-[acyl-carrier-protein] reductase FabG,23.29586,23.31603,23.2974,19.98112,22.47184,22.19904,20.70727,21.24373,19.32216,20.73497,21.10451,20.06126,22.02639,21.16386,21.78411
GFJPDDAG_01397 Malonyl CoA-acyl carrier protein transacylase,22.30198,21.78465,21.81359,21.83483,20.39623,20.6267,21.03127,19.98141,19.36757,21.38824,20.58458,20.73204,22.00267,20.32856,20.64233
GFJPDDAG_01398 Phosphate acyltransferase,22.09068,19.75986,19.17505,20.19654,19.97342,20.5454,19.8961,20.37141,19.46688,20.68703,19.93974,20.99096,21.16431,20.75047,20.72214
"GFJPDDAG_01401 L-serine dehydratase, alpha chain",20.39755,20.97061,20.45844,20.26723,20.67389,20.76495,20.38108,20.63696,19.56382,21.21452,20.54355,19.55817,22.09405,19.90142,22.57422
"GFJPDDAG_01402 L-serine dehydratase, beta chain",19.93686,18.70432,19.35039,21.13141,21.28612,20.41398,20.00934,21.23622,20.13982,20.59926,20.93019,19.56033,22.13822,21.03403,21.42643
GFJPDDAG_01403 hypothetical protein,23.65873,23.65425,23.54851,20.45759,20.31863,21.45278,20.02413,20.30369,20.2426,20.18802,20.24351,21.07863,22.11846,20.84496,21.10278
GFJPDDAG_01404 hypothetical protein,24.04043,25.44003,24.1418,19.62424,21.51039,20.29597,21.32586,21.79563,21.35617,20.62836,20.1099,19.46682,22.22471,20.23435,20.92846
GFJPDDAG_01405 50S ribosomal protein L28,24.53534,24.71424,25.01274,24.09063,21.5163,20.39525,24.55602,25.20866,24.69928,24.24016,24.76552,24.88194,22.29449,19.17929,21.2396
GFJPDDAG_01407 Ribulose-phosphate 3-epimerase,20.36282,18.89498,22.16613,20.89917,20.31429,20.53579,20.54272,21.4363,19.22675,20.16871,20.22835,19.16902,22.75205,19.31386,20.89744
GFJPDDAG_01409 Serine/threonine-protein kinase PrkC,20.32003,18.5503,19.45313,19.79523,20.83803,19.78657,20.01565,20.5993,21.64104,20.92341,20.01289,20.11696,20.87369,21.13203,20.58283
GFJPDDAG_01410 Serine/threonine phosphatase stp,21.28122,20.65395,18.63594,20.86778,20.28787,21.50888,19.50161,20.18015,20.1698,21.02957,20.28122,20.68092,22.67446,21.11015,19.81369
GFJPDDAG_01411 Ribosomal RNA small subunit methyltransferase B,21.42757,20.69339,21.87192,20.6318,20.90481,20.727,18.35078,20.99791,20.52897,22.21412,20.38984,19.12733,22.19621,20.98814,20.85677
GFJPDDAG_01412 Methionyl-tRNA formyltransferase,19.22827,19.99866,19.7732,20.50233,20.31913,21.54324,19.72752,20.24119,19.96194,21.01275,21.58521,22.11301,21.29731,19.97528,20.19812
GFJPDDAG_01415 Coenzyme A biosynthesis bifunctional protein CoaBC,20.13107,20.95716,18.95512,20.35409,20.58673,21.07003,20.10645,20.20759,19.64632,20.6348,19.12467,21.0924,21.96544,20.54592,21.41844
GFJPDDAG_01416 DNA-directed RNA polymerase subunit omega,20.77233,21.12402,21.6536,21.85164,20.30413,20.80705,22.1363,22.90308,22.22808,20.50286,21.5515,20.21155,22.98237,19.98853,19.93786
GFJPDDAG_01417 Guanylate kinase,23.23954,24.59781,22.68795,21.16825,20.35017,20.41111,21.83268,19.77753,22.05345,21.58835,20.93159,20.84206,21.63789,20.20369,20.95297
GFJPDDAG_01418 hypothetical protein,23.25537,24.19505,22.88157,20.93284,20.5246,19.69599,21.26176,20.64307,19.50965,21.17002,19.491,20.83678,21.80273,20.09369,22.24266
GFJPDDAG_01419 hypothetical protein,19.27487,20.10559,18.45884,21.04661,19.80611,20.94258,21.1575,20.10741,19.18672,20.11229,20.75692,19.51315,22.2364,20.67676,21.08496
GFJPDDAG_01420 Calcium-transporting ATPase,23.10529,21.88043,23.56721,23.85462,24.41455,20.76056,23.95358,24.52803,23.79877,23.49607,24.40827,24.39375,23.04403,19.5108,20.83643
GFJPDDAG_01422 Orotate phosphoribosyltransferase,21.18743,21.69192,21.0412,20.92905,20.1533,20.4972,21.64447,21.22695,22.22517,20.20729,20.43992,20.63172,22.8281,20.97822,21.27637
GFJPDDAG_01423 Orotidine 5-phosphate decarboxylase,21.02972,20.65447,20.6025,21.14201,21.19552,21.10274,20.08769,20.69223,19.02299,21.60938,20.54918,21.0978,21.45378,19.27804,20.00731
"GFJPDDAG_01425 Dihydroorotate dehydrogenase B (NAD(+)), electron transfer subunit",20.35697,19.27149,20.18556,20.91004,20.81877,22.54871,19.75294,20.87816,17.9552,21.21739,19.80597,20.74119,21.86912,20.77661,20.40479
GFJPDDAG_01426 Carbamoyl-phosphate synthase large chain,23.61661,23.93139,22.92591,20.651,20.94882,19.98827,22.47791,20.52471,22.92486,20.30283,21.32178,20.69966,21.10944,20.13761,20.01526
GFJPDDAG_01427 Carbamoyl-phosphate synthase small chain,21.36874,21.36586,19.64252,21.40552,21.43295,20.53633,19.49808,20.95081,19.81797,19.18045,19.83204,19.69826,23.0206,19.00708,20.9368
GFJPDDAG_01428 Dihydroorotase,23.17112,22.53512,22.85173,21.10245,22.01058,21.13276,20.27176,19.95856,20.54716,21.16016,19.69725,19.75901,20.64927,19.22343,20.95763
GFJPDDAG_01429 Aspartate carbamoyltransferase,19.09906,20.23362,19.23095,21.40005,20.76025,21.00477,20.89169,19.62988,20.44961,20.66592,21.20497,19.2973,21.5799,21.06151,21.15092
GFJPDDAG_01431 Bifunctional protein PyrR,24.51039,26.14791,24.53594,23.79917,24.63184,24.58354,22.88506,23.21697,22.94095,24.32444,23.97771,23.62344,21.48473,19.99014,19.95708
GFJPDDAG_01432 Ribosomal large subunit pseudouridine synthase D,19.58231,19.35253,18.66965,20.36197,19.82457,20.57657,20.3797,20.28242,19.28885,21.2664,19.40926,20.50252,21.08497,20.52548,21.00086
GFJPDDAG_01435 Isoleucine--tRNA ligase,23.43377,23.36373,23.19832,19.4388,20.16016,20.73929,20.33533,20.87532,19.01944,20.60792,20.11855,18.81201,21.04845,20.16469,21.21238
GFJPDDAG_01436 Septum site-determining protein DivIVA,23.796,26.33117,23.20717,20.91579,20.86366,20.57811,21.26888,20.17627,19.44795,20.52609,20.1614,19.72742,23.48304,19.81742,19.82535
GFJPDDAG_01438 hypothetical protein,18.85822,19.16298,19.18668,21.27689,19.76045,19.71241,20.60998,20.99745,20.23847,20.56935,19.52456,23.21459,21.74084,19.78675,19.86303
GFJPDDAG_01440 hypothetical protein,20.87769,19.88971,19.19999,19.37158,19.79922,20.67045,18.94449,20.47167,20.24919,21.60214,19.34809,19.77665,22.21423,21.54534,20.52518
GFJPDDAG_01444 RNA polymerase sigma-35 factor,22.79052,19.93781,22.12127,20.24656,20.75164,20.86804,19.92078,20.16932,20.1418,20.89094,20.12947,20.71452,21.973,20.51708,21.03582
GFJPDDAG_01446 Cell division protein FtsZ,26.36761,26.90828,25.66381,22.56134,24.03414,23.3415,23.71398,23.73995,24.15283,22.07646,22.92691,23.47507,22.52042,21.19235,21.52493
GFJPDDAG_01447 Cell division protein FtsA,24.80366,24.636,23.70915,20.85249,21.39126,21.24884,19.94979,20.65317,22.20976,20.33659,20.19408,20.5425,22.64774,19.2519,20.27187
GFJPDDAG_01452 putative peptidoglycan glycosyltransferase FtsW,21.56848,20.72234,22.8234,21.35543,20.83923,21.18704,19.79123,20.4503,20.13096,22.17495,21.82787,20.52249,21.87796,18.84278,20.45357
GFJPDDAG_01453 UDP-N-acetylmuramoylalanine--D-glutamate ligase,22.13075,22.55506,21.9147,21.28513,21.06014,20.01342,20.00445,20.84352,19.54722,20.56524,19.58259,19.09721,21.83824,19.98491,19.73854
GFJPDDAG_01454 Phospho-N-acetylmuramoyl-pentapeptide-transferase,22.38026,21.46911,22.83526,23.26442,20.96792,21.53279,23.50434,22.6109,23.37928,20.11266,23.2446,22.39194,21.63084,20.06519,19.83902
GFJPDDAG_01457 Stage V sporulation protein D,22.71519,22.10926,24.1676,19.92883,23.42867,22.69004,24.03154,24.48505,23.85899,22.77233,23.84029,24.28037,21.39468,20.64902,20.18508
GFJPDDAG_01460 Ribosomal RNA small subunit methyltransferase H,20.13935,20.92245,20.22652,20.57399,21.24493,20.78303,19.38303,20.07734,19.14661,20.4395,19.81617,20.70523,22.26782,20.91597,20.69818
GFJPDDAG_01461 Transcriptional regulator MraZ,19.52401,20.59259,19.85021,21.79707,21.46001,21.12453,19.84983,20.07254,19.45636,20.4695,20.34963,20.75045,21.72379,18.89425,20.81726
GFJPDDAG_01465 Methylmalonyl-CoA carboxyltransferase 12S subunit,27.19686,26.35765,25.99826,20.71671,21.72733,22.97752,22.13464,21.28658,22.66689,21.62763,22.90857,21.68089,22.30572,20.53989,21.30682
GFJPDDAG_01467 2-oxoglutarate carboxylase small subunit,25.22406,23.89541,23.63334,21.35827,22.62462,21.31271,20.47555,20.81921,22.61117,20.31141,22.25072,21.75809,23.37692,19.66025,20.36553
GFJPDDAG_01468 putative N-acetyltransferase YlbP,24.43141,24.92723,24.02022,21.02523,20.96575,20.06749,19.57606,20.94538,20.26416,20.75933,19.91062,22.24679,21.30609,20.88088,21.05277
GFJPDDAG_01469 Prespore-specific transcriptional regulator RsfA,20.03732,18.60124,17.96768,20.32464,21.43263,21.1559,20.36282,21.83816,19.0738,22.06699,20.32525,19.65041,21.35251,21.05561,21.69841
GFJPDDAG_01472 hypothetical protein,21.77628,21.60436,21.4139,20.76983,20.65434,20.96116,20.19959,20.75047,19.71395,21.11356,19.67556,20.33657,22.49895,19.0202,21.22936
GFJPDDAG_01473 hypothetical protein,19.91836,21.68496,21.11394,20.61923,21.36773,20.7507,19.80438,21.9662,20.14956,21.58383,19.84881,20.28116,22.48611,19.62064,21.50453
GFJPDDAG_01474 Lon protease,18.42584,19.05803,20.54463,21.09168,20.68029,20.55704,21.54665,20.65569,19.31259,20.44763,19.02333,20.52219,22.27215,18.86436,21.12377
GFJPDDAG_01491 hypothetical protein,23.27796,24.66069,23.13275,21.67474,21.09789,20.01815,20.41864,20.96344,20.17373,21.1213,20.17653,19.86773,21.85644,18.99833,20.68383
GFJPDDAG_01492 hypothetical protein,22.65248,22.71438,23.13475,22.99535,22.39168,21.07149,22.23266,22.13693,22.13154,22.06171,22.8613,21.80243,21.36559,19.7378,20.15012
GFJPDDAG_01495 Cytochrome c oxidase subunit 4B,21.81601,22.84034,21.3393,23.83884,23.55004,23.84144,24.24721,23.33565,24.65092,21.65187,22.84184,22.61353,23.42322,21.27449,21.44542
GFJPDDAG_01496 Cytochrome c oxidase subunit 3,23.68635,24.76764,24.02013,25.79974,27.61856,25.43851,24.67158,24.39996,23.90086,25.84283,26.82214,27.09033,21.52615,21.16631,20.30301
GFJPDDAG_01497 Cytochrome c oxidase subunit 1,26.24578,26.09192,26.69445,27.76901,27.40487,27.3006,26.31703,24.84412,25.26105,27.58649,27.85555,27.3506,23.0299,21.00469,20.01558
GFJPDDAG_01498 Cytochrome c oxidase subunit 2,25.49127,27.04312,25.23111,28.26767,28.06173,27.84828,28.55197,27.09376,28.53734,28.53757,28.41977,28.10734,22.18832,18.92084,21.26142
