Fasta headers,P,P,P,TPA,TPA,TPA,BHET,BHET,BHET,PET,PET,PET
DMKJLJHC_01656 hypothetical protein,-15.28993,-13.13833,-13.62024,-12.96134,-14.57492,-13.11433,-14.13544,-12.0204,-13.77327,-13.77699,-13.58343,-14.58243
DMKJLJHC_01660 30S ribosomal protein S1,-10.22637,-10.6793,-10.46119,-13.21633,-13.56647,-12.77609,-13.60281,-13.46666,-14.37165,-13.76357,-14.1662,-13.25113
DMKJLJHC_01665 3-phosphoshikimate 1-carboxyvinyltransferase,-13.39075,-13.11634,-13.77768,-12.75258,-13.83034,-13.01517,-14.04901,-14.11349,-14.19072,-13.36914,-13.16257,-12.57185
DMKJLJHC_01702 TelA-like protein,-15.08323,-13.3482,-14.08429,-13.23549,-13.64954,-13.44912,-14.91452,-14.51624,-14.58823,-14.68602,-13.00007,-13.7275
DMKJLJHC_01711 Tryptophan--tRNA ligase,-14.42815,-13.45837,-13.16306,-13.52539,-12.7935,-13.087,-14.00688,-14.41643,-14.94971,-12.13719,-12.95119,-13.91834
DMKJLJHC_01717 hypothetical protein,-8.673216,-7.47573,-8.181632,-9.021915,-8.702775,-8.137339,-9.240545,-7.601154,-8.971803,-8.777706,-9.33219,-8.261402
DMKJLJHC_01731 Dipeptidyl carboxypeptidase,-13.76456,-12.67537,-12.45858,-12.82063,-14.24896,-15.04086,-15.30531,-13.06158,-14.54014,-16.96283,-13.89616,-13.91315
DMKJLJHC_01735 hypothetical protein,-11.46504,-10.9775,-11.55032,-12.43376,-15.08332,-12.32625,-13.91864,-12.75242,-14.91114,-12.88736,-13.56457,-11.7197
DMKJLJHC_01736 4-methylaminobutanoate oxidase (formaldehyde-forming),-10.57093,-11.61938,-12.03816,-13.45991,-14.89369,-14.17746,-13.58172,-13.54623,-15.93166,-12.54003,-12.48016,-13.46402
DMKJLJHC_01737 Lysozyme M1,-9.112335,-9.754662,-9.280613,-11.93994,-10.82168,-13.11307,-11.48803,-10.03748,-13.51455,-10.89663,-13.52343,-10.82943
DMKJLJHC_01740 Aspartate--tRNA ligase,-14.68009,-13.32519,-13.2596,-14.27351,-12.99273,-14.3236,-14.43827,-13.15208,-14.24361,-14.80217,-13.12848,-13.84924
DMKJLJHC_01767 hypothetical protein,-7.668003,-7.495822,-7.736331,-9.802202,-8.876824,-8.904856,-9.352383,-7.911202,-9.327084,-9.674384,-9.431221,-8.472754
DMKJLJHC_01787 Putrescine-binding periplasmic protein SpuD,-8.577715,-13.89619,-11.15787,-9.881763,-11.33899,-9.599838,-9.078917,-7.943925,-7.923594,-10.25079,-13.88996,-10.18722
DMKJLJHC_01793 hypothetical protein,-15.39166,-12.48183,-13.38859,-12.55796,-13.51167,-13.26336,-13.49257,-14.68303,-12.77238,-14.72108,-13.26741,-12.42601
"DMKJLJHC_01817 Catechol 1,2-dioxygenase",-13.70901,-13.07934,-13.20376,-8.337696,-7.791398,-5.438528,-14.61738,-14.4444,-14.49073,-13.57787,-14.82418,-14.62281
DMKJLJHC_01876 Antibiotic efflux pump outer membrane protein ArpC,-8.981696,-9.806171,-9.828536,-12.14859,-14.40577,-12.90703,-11.08771,-10.54997,-11.53541,-14.4745,-12.615,-13.04039
DMKJLJHC_01884 Lipoprotein LipO,-13.88763,-12.31196,-13.88407,-12.99005,-14.41916,-12.83798,-14.6869,-14.42202,-13.7292,-14.49837,-13.22167,-12.56878
DMKJLJHC_01892 hypothetical protein,-9.233672,-9.446299,-9.446031,-10.05031,-7.971306,-6.666826,-7.224977,-7.051836,-7.543622,-7.243812,-8.825051,-7.697875
"DMKJLJHC_01903 6-phosphogluconate dehydrogenase, NADP(+)-dependent, decarboxylating",-12.80287,-11.78857,-12.37179,-13.24187,-13.58248,-12.64786,-13.68083,-13.38744,-15.6593,-15.76071,-13.30638,-14.02383
"DMKJLJHC_01963 2,3-diketo-L-gulonate-binding periplasmic protein YiaO",-14.61203,-13.87233,-13.30375,-12.48555,-13.7237,-13.44151,-14.42904,-13.19529,-15.08185,-14.5453,-14.10287,-11.5544
DMKJLJHC_01979 D-allose-binding periplasmic protein,-10.55311,-10.61751,-9.980853,-10.62064,-9.269733,-9.24056,-8.687784,-8.288154,-8.436276,-10.89796,-10.11444,-9.482635
DMKJLJHC_01982 Dihydrolipoyl dehydrogenase,-9.397178,-10.24648,-10.88939,-12.98351,-13.40054,-13.9871,-11.53884,-10.32781,-11.746,-11.1794,-11.65769,-15.16577
DMKJLJHC_01989 hypothetical protein,-11.41143,-12.69548,-12.12236,-13.90469,-13.95188,-13.20381,-14.07355,-13.81253,-13.27426,-14.31767,-13.63988,-14.08055
DMKJLJHC_02036 Arginine--tRNA ligase,-10.02973,-10.17045,-9.165498,-13.75072,-15.14551,-14.92678,-15.16291,-12.22202,-14.24371,-13.95011,-13.34743,-12.94349
DMKJLJHC_02040 Cytosol aminopeptidase,-11.35482,-13.36221,-12.39753,-14.39168,-14.40474,-14.00083,-13.97556,-14.00756,-14.8058,-10.83956,-14.37426,-14.73415
DMKJLJHC_02054 Dihydroxy-acid dehydratase,-11.6759,-11.53983,-13.20182,-13.70577,-13.19586,-13.88509,-12.07093,-13.63294,-15.34502,-13.6758,-14.09774,-13.50491
DMKJLJHC_02063 Cytochrome c,-15.18567,-12.2338,-12.54405,-13.70068,-14.16342,-13.12387,-12.79314,-14.47545,-13.8743,-14.89763,-14.15574,-13.81022
DMKJLJHC_02076 Cytochrome c-550,-9.701096,-12.5708,-13.22475,-13.77733,-15.52898,-13.73887,-13.65643,-13.3152,-13.28309,-14.73398,-13.0773,-13.88384
DMKJLJHC_02080 hypothetical protein,-7.122271,-7.540359,-7.741779,-7.154039,-6.475341,-5.548784,-6.49216,-6.407911,-6.515936,-6.297728,-6.998894,-6.208493
DMKJLJHC_02088 Soluble lytic murein transglycosylase,-12.96388,-13.3965,-12.29817,-14.15788,-13.82953,-14.1093,-12.57403,-14.43282,-14.46051,-13.49571,-13.22747,-13.70521
DMKJLJHC_02089 4-hydroxy-tetrahydrodipicolinate synthase,-14.59598,-13.31401,-14.83111,-13.90088,-14.28687,-14.39702,-13.94311,-14.45744,-11.2087,-12.86388,-14.32825,-14.26994
DMKJLJHC_02093 DNA polymerase I,-15.89981,-13.39752,-13.76965,-12.89946,-13.9402,-12.73477,-14.57975,-13.42203,-14.70554,-13.99563,-14.17619,-13.93553
DMKJLJHC_02135 Immunogenic protein MPB70,-14.84027,-12.95164,-12.61627,-13.98977,-14.29568,-13.2292,-14.09604,-13.30739,-13.88211,-14.23744,-13.39974,-11.07406
DMKJLJHC_02143 Formyltetrahydrofolate deformylase;DMKJLJHC_03160 Formyltetrahydrofolate deformylase,-14.67501,-13.53149,-12.6806,-13.32447,-13.61907,-12.56466,-12.97731,-13.41999,-14.48071,-14.56695,-14.00666,-12.4015
DMKJLJHC_02149 Periplasmic serine endoprotease DegP,-12.74575,-13.81577,-13.23417,-12.93958,-14.26231,-13.49151,-12.80184,-13.67243,-14.52648,-13.28304,-13.33688,-13.42784
DMKJLJHC_02153 Glutathione amide reductase,-10.88306,-11.62296,-12.16068,-12.97645,-14.74023,-13.16166,-12.41088,-11.57673,-12.51144,-13.72804,-12.79412,-12.45313
DMKJLJHC_02164 Gamma-glutamylputrescine synthetase PuuA,-12.13185,-11.22159,-13.74299,-12.80238,-13.48748,-12.45374,-14.74698,-13.86184,-14.21735,-14.2783,-13.69634,-13.59894
DMKJLJHC_02171 Trifunctional nucleotide phosphoesterase protein YfkN,-11.15725,-13.57965,-10.48258,-12.73787,-10.98511,-10.79025,-11.0958,-10.88414,-11.55058,-11.67764,-11.08766,-11.23597
DMKJLJHC_02176 Periplasmic oligopeptide-binding protein,-7.396358,-7.785992,-7.19753,-7.071303,-6.705293,-5.94096,-6.563816,-6.475836,-6.579503,-6.467434,-7.418932,-6.842144
DMKJLJHC_02210 hypothetical protein,-12.53027,-13.28048,-12.25043,-12.56087,-14.41416,-12.95967,-14.28765,-13.31494,-15.14282,-14.30869,-13.42031,-14.79523
DMKJLJHC_02222 Glutamate--cysteine ligase EgtA,-15.77213,-11.80814,-12.99015,-13.25813,-13.92716,-13.96576,-14.3697,-14.41092,-14.69622,-15.42655,-13.40298,-14.44747
DMKJLJHC_02234 Flavin-dependent thymidylate synthase,-13.28999,-13.17283,-12.33873,-12.96986,-14.46739,-12.65509,-14.58161,-12.43908,-13.66406,-14.64851,-14.42373,-13.85752
DMKJLJHC_02235 Fructose dehydrogenase large subunit,-12.267,-13.27954,-13.07641,-12.59061,-14.5359,-13.82129,-13.97092,-13.55591,-12.79313,-14.26674,-13.61767,-13.5535
DMKJLJHC_02270 NADH-quinone oxidoreductase subunit D,-14.62121,-12.72195,-13.4011,-13.45848,-14.06749,-13.68584,-14.04812,-13.9997,-14.2298,-14.59733,-13.6518,-13.87196
DMKJLJHC_02271 NADH-quinone oxidoreductase chain 2,-14.01011,-12.85368,-14.53924,-13.93329,-14.72986,-12.06157,-13.59428,-13.71064,-14.322,-14.60328,-13.81814,-13.42561
DMKJLJHC_02277 NADH-quinone oxidoreductase chain 3,-14.82734,-13.19695,-14.0125,-12.57051,-13.22387,-13.77399,-14.45114,-13.79634,-14.49792,-14.61518,-13.41463,-15.76296
DMKJLJHC_02289 Ribonuclease J 1,-11.39686,-11.81552,-11.95028,-14.35289,-14.71044,-14.10722,-13.30775,-14.29399,-14.66612,-13.23362,-13.0631,-12.72627
DMKJLJHC_02298 ATP synthase subunit delta,-14.64832,-13.50462,-13.21994,-13.36032,-11.3783,-13.06743,-13.74681,-13.35423,-14.18854,-14.03734,-14.4552,-12.83738
DMKJLJHC_02299 ATP synthase subunit alpha,-5.374717,-5.884387,-5.652158,-11.84724,-8.475253,-11.0341,-14.17647,-13.49947,-15.44764,-10.20868,-11.0987,-10.64007
DMKJLJHC_02300 ATP synthase gamma chain,-11.13006,-9.711391,-9.527552,-14.13046,-14.10797,-14.34687,-14.61811,-14.0364,-14.17708,-13.66836,-14.17448,-13.44264
DMKJLJHC_02301 ATP synthase subunit beta,-5.333681,-5.810469,-5.979153,-10.27487,-8.270869,-9.799004,-11.21937,-13.95702,-14.53234,-9.510856,-9.189116,-9.349239
DMKJLJHC_02311 Erythritol/L-threitol-binding protein,-9.070646,-9.610594,-11.09605,-13.17301,-12.47796,-10.26619,-12.03255,-13.3071,-12.80278,-12.38505,-12.08545,-11.76428
DMKJLJHC_02316 60 kDa chaperonin,-5.29981,-5.682522,-5.375766,-10.12731,-8.234103,-8.571726,-7.693216,-7.934553,-8.698383,-9.916305,-9.318415,-8.792582
DMKJLJHC_02319 putative manganese-dependent inorganic pyrophosphatase,-11.00879,-11.22519,-13.18158,-14.13708,-13.91296,-12.20443,-13.66473,-13.09301,-13.29853,-13.83599,-14.47236,-13.51317
DMKJLJHC_02343 30S ribosomal protein S9,-10.53848,-13.61288,-12.95142,-13.33082,-13.73364,-13.68658,-13.05471,-13.60168,-14.19826,-15.38351,-12.71695,-13.88125
DMKJLJHC_02347 Bacterioferritin,-14.82918,-13.81534,-13.40895,-13.42205,-14.95261,-13.29711,-15.28728,-13.66962,-14.42316,-14.43073,-13.10501,-13.41694
DMKJLJHC_02399 Solute-binding protein,-14.31281,-14.26274,-12.90278,-13.54783,-14.04936,-13.28451,-13.78197,-12.42102,-15.18283,-14.4806,-13.9771,-15.16735
DMKJLJHC_02404 Monocarboxylate 2-oxoacid-binding periplasmic protein,-14.08464,-13.37903,-13.27351,-14.80909,-14.71868,-12.50318,-13.32271,-13.64933,-11.34279,-14.00982,-13.29147,-15.5861
DMKJLJHC_02408 hypothetical protein,-7.985247,-7.93576,-7.6826,-13.54407,-11.13511,-11.16396,-11.41498,-9.933369,-11.12577,-12.11582,-13.18046,-10.99481
DMKJLJHC_02409 hypothetical protein,-13.26793,-11.51368,-11.95486,-12.81586,-12.14062,-12.61763,-13.46542,-11.80471,-12.60264,-12.74799,-15.20394,-12.2239
DMKJLJHC_02433 Iron uptake system component EfeO,-12.80716,-13.38461,-12.50699,-13.05523,-12.88599,-13.43982,-14.13525,-13.19217,-13.71315,-14.12247,-14.13455,-14.34622
DMKJLJHC_02438 Lactate-binding periplasmic protein,-13.7139,-12.99383,-13.91181,-12.79333,-13.72019,-14.12397,-13.24827,-12.42276,-12.40918,-14.19421,-14.11434,-14.18502
DMKJLJHC_02447 Multiple sugar-binding protein,-11.08896,-12.44753,-13.26929,-13.63663,-14.21854,-11.16803,-12.7006,-13.1071,-11.49914,-11.50329,-12.78983,-10.89457
DMKJLJHC_02457 ABC transporter periplasmic-binding protein YtfQ,-12.08131,-11.26823,-10.75958,-9.824624,-9.691395,-8.141846,-10.26018,-9.822927,-9.942258,-9.23756,-9.790094,-8.707867
DMKJLJHC_02479 putative sugar-binding periplasmic protein,-14.27858,-13.91654,-13.2763,-13.28979,-12.57549,-12.354,-13.44229,-12.42257,-12.30125,-12.97058,-14.2817,-13.37644
DMKJLJHC_02498 Isocitrate dehydrogenase [NADP],-12.72578,-14.18433,-13.24065,-13.29951,-14.21575,-13.23812,-15.07641,-13.70469,-15.07874,-14.19661,-13.95487,-12.96665
DMKJLJHC_02546 hypothetical protein,-11.45234,-11.71614,-13.7479,-13.6612,-15.04074,-13.48858,-13.18106,-14.06585,-14.34822,-13.64371,-14.25508,-15.36806
DMKJLJHC_02552 hypothetical protein,-14.24622,-12.97819,-13.2591,-12.16733,-13.53043,-15.25424,-14.44109,-12.26749,-11.50255,-14.19362,-13.43842,-13.83412
DMKJLJHC_02553 Glutamyl-tRNA(Gln) amidotransferase subunit A,-9.537764,-10.26714,-13.1528,-13.71565,-14.34214,-13.8957,-15.42762,-13.4362,-14.95468,-14.47789,-13.45989,-13.51198
DMKJLJHC_02555 hypothetical protein,-13.51846,-12.96898,-12.54072,-14.42297,-14.20332,-15.68598,-13.53585,-12.82085,-15.01153,-14.21621,-13.30105,-11.48473
DMKJLJHC_02558 3-methylmercaptopropionyl-CoA dehydrogenase,-11.84632,-12.04548,-11.23727,-13.09966,-15.60452,-13.79785,-13.33998,-15.57366,-14.27968,-15.11665,-13.50586,-14.38312
DMKJLJHC_02575 NADP-dependent malic enzyme,-12.84027,-13.07125,-12.63116,-11.89882,-14.1457,-13.00227,-13.71638,-13.91759,-14.47456,-13.76731,-14.23825,-14.71709
DMKJLJHC_02580 Serine hydroxymethyltransferase 2,-10.05342,-9.842743,-10.29208,-13.09858,-12.3079,-12.07757,-12.15113,-13.63562,-15.03507,-12.81216,-13.92538,-15.67501
DMKJLJHC_02606 Phenylalanine--tRNA ligase beta subunit,-14.48783,-12.78771,-13.3218,-13.35938,-14.14321,-13.44191,-15.33541,-13.3854,-14.17574,-13.87741,-14.49675,-14.80094
DMKJLJHC_02629 D-xylose-binding periplasmic protein,-7.895565,-7.892964,-7.974858,-10.53319,-8.646081,-7.536873,-6.181356,-5.817574,-6.150998,-9.165325,-9.307585,-8.829861
DMKJLJHC_02631 Aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B,-11.12496,-11.73405,-13.16895,-13.42661,-14.16326,-12.13726,-12.59418,-14.50699,-14.89071,-15.53021,-12.43703,-15.6528
DMKJLJHC_02635 Multiple sugar-binding protein,-15.64285,-12.94742,-13.09846,-13.0397,-14.12826,-15.37347,-14.03301,-13.61961,-14.49229,-16.25822,-13.3247,-14.01082
DMKJLJHC_02641 Tryptophan synthase beta chain,-12.73016,-13.63531,-13.23729,-13.31772,-13.29227,-14.33881,-14.35599,-14.12072,-13.18555,-13.75383,-13.53201,-13.15016
DMKJLJHC_02642 Murein hydrolase activator NlpD,-4.508376,-3.977076,-4.245473,-7.423939,-6.581539,-6.535464,-6.737638,-6.426556,-7.232886,-7.476652,-7.491141,-6.602373
DMKJLJHC_02648 Citrate synthase,-8.769917,-9.540741,-11.30838,-13.09096,-13.13715,-11.72789,-11.43469,-10.29157,-10.76488,-13.23789,-12.00895,-14.27624
DMKJLJHC_02649 Glutamate--tRNA ligase,-13.28666,-12.20153,-12.33151,-12.71913,-14.03908,-14.82768,-12.90323,-14.04989,-13.89678,-13.97821,-13.85135,-13.13024
DMKJLJHC_02655 Anthranilate phosphoribosyltransferase,-11.86773,-12.6085,-12.98928,-12.9617,-14.69598,-12.73929,-14.95727,-14.26679,-14.89428,-14.38419,-13.45994,-13.92517
DMKJLJHC_02674 Heme-binding protein A,-13.00492,-13.84791,-12.73934,-13.10825,-13.88311,-12.73274,-14.38734,-13.18139,-12.66768,-12.92657,-13.82135,-14.29953
DMKJLJHC_02682 3-oxoacyl-[acyl-carrier-protein] reductase FabG,-11.67291,-13.43587,-13.49251,-12.85283,-15.46125,-13.76231,-13.88084,-13.45081,-14.51974,-14.05489,-13.27446,-14.46064
DMKJLJHC_02685 3-oxoacyl-[acyl-carrier-protein] synthase 2,-10.2587,-10.20999,-10.83097,-12.80734,-12.3208,-13.32962,-14.7906,-13.68365,-14.08732,-14.38486,-14.17605,-14.07573
DMKJLJHC_02688 hypothetical protein,-13.67219,-12.88175,-13.76553,-13.94706,-13.93236,-12.53275,-13.96828,-13.76358,-13.59718,-14.43998,-13.68778,-12.85636
DMKJLJHC_02691 hypothetical protein,-10.91371,-10.62316,-12.67732,-10.91226,-9.147545,-9.032277,-9.973178,-10.4542,-10.47633,-9.90132,-10.05569,-9.192459
DMKJLJHC_02708 Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex,-15.54748,-13.67889,-11.6062,-13.31025,-14.06115,-13.73626,-13.27425,-14.75515,-14.50556,-15.07726,-13.36628,-13.641
DMKJLJHC_02709 2-oxoisovalerate dehydrogenase subunit beta,-10.34378,-14.3953,-13.57987,-11.9794,-13.17071,-14.25388,-13.43591,-14.27669,-14.12214,-14.29456,-13.67888,-14.21827
DMKJLJHC_02716 Ureidoglycolate lyase,-11.40219,-12.36808,-12.90176,-10.31165,-9.64036,-10.01077,-12.9056,-9.739923,-10.16426,-10.9806,-11.03658,-10.31382
DMKJLJHC_02724 Enolase,-8.24918,-8.383845,-8.021716,-11.70379,-10.71971,-10.93674,-9.781437,-9.783442,-9.115885,-12.11047,-11.65215,-11.44709
DMKJLJHC_02734 Nucleoside diphosphate kinase,-15.15577,-13.22267,-13.6176,-13.26231,-15.25402,-12.73375,-13.46617,-12.55788,-13.76932,-13.4506,-12.87058,-14.26433
DMKJLJHC_02737 Vitamin B12 transporter BtuB,-5.521502,-5.75592,-5.440713,-8.841244,-7.314185,-7.576297,-7.780548,-7.652819,-8.140368,-8.791383,-8.767813,-7.998199
DMKJLJHC_02775 Outer membrane transporter protein TsaT,-9.473555,-9.229176,-9.941433,-10.80709,-10.0686,-10.48771,-11.10199,-9.859917,-11.00018,-10.14114,-11.21918,-10.24828
DMKJLJHC_02779 hypothetical protein,-10.66364,-11.04206,-14.30889,-13.4552,-12.57042,-13.99578,-10.82185,-10.687,-11.18598,-16.12873,-13.78757,-12.01001
DMKJLJHC_02783 Trigger factor,-8.802978,-8.385955,-8.577665,-14.20968,-14.09114,-14.00942,-13.4906,-13.43729,-15.78354,-13.4107,-14.1621,-13.55628
DMKJLJHC_02787 50S ribosomal protein L9,-15.10075,-13.84782,-11.66615,-13.23067,-14.57022,-13.28977,-13.18197,-12.68036,-14.51194,-14.41701,-13.83504,-14.68035
DMKJLJHC_02907 hypothetical protein,-14.1327,-11.71687,-11.99683,-10.82986,-13.9371,-9.887239,-13.49957,-13.99703,-13.95204,-10.28932,-13.4451,-10.18717
DMKJLJHC_02920 Outer membrane protein assembly factor BamD,-14.59612,-13.11462,-12.35755,-13.19632,-13.537,-13.17105,-12.15424,-13.56224,-14.41213,-13.20553,-13.28707,-12.42913
DMKJLJHC_02925 Aminopeptidase,-14.39051,-12.93767,-13.28324,-12.9318,-15.13961,-14.31371,-13.6669,-14.57522,-14.8255,-14.01033,-13.61605,-14.67292
DMKJLJHC_02930 hypothetical protein,-13.89843,-12.90117,-13.18183,-13.37383,-12.20594,-14.43683,-13.89294,-13.4608,-13.69734,-12.47943,-13.36146,-14.2027
DMKJLJHC_02946 hypothetical protein,-14.50056,-13.13556,-14.01857,-12.97532,-14.48915,-14.31725,-12.43836,-13.65641,-14.08324,-15.2592,-12.61006,-14.4756
DMKJLJHC_02953 hypothetical protein,-8.516984,-8.132542,-8.021643,-7.568607,-7.346942,-6.219551,-5.718089,-5.145799,-5.493969,-6.634553,-7.785529,-6.668467
DMKJLJHC_02974 Serine--tRNA ligase,-11.13584,-14.06238,-14.09342,-13.29978,-14.05759,-11.75167,-13.48818,-13.4164,-13.32042,-16.08767,-14.22976,-13.37135
DMKJLJHC_02977 Outer membrane protein assembly factor BamB,-6.301052,-6.685806,-7.276735,-10.33283,-10.06482,-9.728355,-10.8516,-9.464087,-11.82903,-10.02786,-10.63997,-9.983379
DMKJLJHC_02988 Superoxide dismutase [Fe],-15.02243,-12.69908,-12.12568,-13.4982,-9.841049,-8.118897,-13.81086,-13.29418,-9.786698,-11.11066,-10.51744,-14.89467
DMKJLJHC_02991 O-succinylhomoserine sulfhydrylase,-12.77426,-12.99041,-12.13764,-12.97371,-13.42948,-13.02997,-13.48922,-13.6205,-14.47823,-14.09336,-14.9626,-14.22689
DMKJLJHC_03010 Putative amino-acid ABC transporter-binding protein YhdW,-7.74281,-6.897898,-6.810269,-5.597997,-5.310473,-5.315021,-5.710943,-5.421929,-5.259131,-5.764664,-5.980447,-5.856324
DMKJLJHC_03019 DNA-directed RNA polymerase subunit alpha,-10.56652,-12.84951,-14.35495,-12.96614,-12.53211,-13.61719,-12.6185,-13.99848,-13.34959,-14.7399,-13.47205,-13.76505
DMKJLJHC_03020 30S ribosomal protein S11,-14.69814,-13.0225,-12.14644,-13.01484,-14.02244,-14.1982,-14.02335,-14.8256,-14.95154,-14.8518,-14.0425,-16.41737
DMKJLJHC_03047 Phosphate-import protein PhnD,-15.2185,-14.04914,-12.92714,-13.39223,-14.30509,-11.86871,-14.02244,-13.88654,-13.89206,-12.66884,-13.83643,-12.93706
DMKJLJHC_03074 hypothetical protein,-10.95028,-10.06595,-13.35258,-12.23325,-10.47187,-10.99129,-11.49426,-10.952,-11.9209,-14.64058,-11.8028,-11.05766
DMKJLJHC_03092 Alpha-keto acid-binding periplasmic protein TakP,-7.869765,-7.747243,-8.23595,-8.532305,-7.419933,-5.999204,-7.102599,-6.718547,-7.073883,-7.766068,-8.21901,-6.767688
DMKJLJHC_03095 hypothetical protein,-9.171251,-9.274599,-10.00378,-7.122866,-6.788475,-6.001608,-8.208282,-7.313917,-7.025044,-7.187298,-8.269456,-7.459694
DMKJLJHC_03109 Glucose-6-phosphate 1-dehydrogenase,-11.2548,-11.39601,-11.37959,-13.47325,-13.90028,-14.22408,-12.64562,-14.07726,-14.38562,-13.29148,-14.46476,-14.86973
DMKJLJHC_03111 Glucose-6-phosphate isomerase,-11.24338,-13.62408,-12.96866,-13.90777,-13.52692,-13.5056,-13.3738,-13.42017,-15.659,-14.55939,-13.70217,-13.28416
DMKJLJHC_03116 Outer membrane efflux protein BepC,-8.59245,-8.548885,-9.234663,-11.65671,-10.08869,-10.43291,-10.87261,-10.43035,-11.21101,-11.91833,-11.35711,-10.68081
DMKJLJHC_03136 Alanine dehydrogenase,-6.776314,-6.745974,-7.092651,-10.81966,-8.769015,-8.524753,-7.460738,-7.110291,-7.810772,-8.943833,-8.68955,-8.362779
DMKJLJHC_03139 30S ribosomal protein S21,-16.62772,-12.85373,-12.96163,-13.38664,-13.52,-14.17904,-13.90714,-13.6776,-11.44055,-14.96947,-13.66246,-13.80106
DMKJLJHC_03147 Glutarate-semialdehyde dehydrogenase DavD,-12.34833,-13.26884,-12.88544,-12.96142,-14.0656,-14.31091,-14.79556,-13.17788,-13.9368,-14.85749,-14.1121,-13.29694
"DMKJLJHC_03152 putative L,D-transpeptidase ErfK/SrfK",-7.888117,-7.490343,-7.564248,-8.930926,-8.039862,-7.59124,-8.1318,-7.505929,-8.633874,-9.072091,-8.677503,-7.964063
DMKJLJHC_03153 Periplasmic dipeptide transport protein,-14.17518,-12.69121,-12.55529,-12.63257,-12.75836,-13.18691,-11.89221,-13.81131,-12.61087,-14.0259,-13.66835,-14.25002
DMKJLJHC_03158 Dihydrolipoyl dehydrogenase 3,-8.199666,-9.449047,-9.368319,-13.04259,-10.86922,-11.53854,-10.57747,-10.77714,-10.71058,-12.23628,-13.7737,-11.64207
DMKJLJHC_03201 Acetyl-CoA acetyltransferase,-9.238797,-9.729675,-12.44458,-12.75988,-14.36321,-13.60803,-12.92636,-14.43731,-14.05393,-15.06886,-14.10126,-14.41468
DMKJLJHC_03202 Acetoacetyl-CoA reductase,-14.46794,-14.49153,-12.90621,-13.08669,-15.48606,-11.03276,-13.62358,-13.58591,-13.74141,-13.80582,-12.32135,-14.68538
DMKJLJHC_03211 Electron transfer flavoprotein-ubiquinone oxidoreductase,-13.22934,-13.26133,-13.75993,-14.64816,-13.65117,-13.35212,-14.53305,-13.61039,-14.60282,-15.62278,-13.51191,-14.01581
DMKJLJHC_03222 3-methylmercaptopropionyl-CoA dehydrogenase,-13.81105,-13.46078,-13.64773,-12.46366,-15.27544,-13.68437,-14.28574,-13.72821,-13.69022,-13.51658,-13.93491,-14.12798
DMKJLJHC_03808 50S ribosomal protein L18;DMKJLJHC_03250 50S ribosomal protein L18,-15.33473,-13.4791,-13.10724,-12.98714,-13.59171,-14.2949,-14.61548,-12.0644,-14.49288,-14.64071,-13.0977,-12.62496
DMKJLJHC_03251 50S ribosomal protein L6,-14.38608,-13.9102,-12.26548,-13.41805,-13.54081,-14.68551,-13.60351,-13.05124,-13.85894,-15.42222,-13.23863,-14.57915
DMKJLJHC_03254 50S ribosomal protein L5,-14.0559,-12.11802,-13.23121,-13.22447,-13.62396,-12.64715,-13.48451,-13.94652,-14.07362,-13.49536,-13.07916,-13.54419
DMKJLJHC_03256 50S ribosomal protein L14;DMKJLJHC_03802 50S ribosomal protein L14,-15.84693,-13.52436,-13.43853,-13.7083,-14.56489,-13.36373,-14.56616,-11.34446,-15.45898,-14.5454,-14.36976,-14.40902
DMKJLJHC_03258 50S ribosomal protein L29;DMKJLJHC_03800 50S ribosomal protein L29,-15.18218,-12.92606,-12.43678,-12.30178,-13.75846,-11.95637,-14.70649,-13.69453,-13.33372,-14.83574,-13.9509,-13.26958
DMKJLJHC_03264 30S ribosomal protein S3,-10.65582,-13.48312,-11.68941,-13.8836,-16.0447,-13.15589,-13.75829,-14.04301,-13.7753,-14.79222,-13.03925,-13.56246
DMKJLJHC_03795 50S ribosomal protein L2;DMKJLJHC_03267 50S ribosomal protein L2,-13.12733,-12.92847,-14.025,-13.85645,-15.14764,-12.97594,-14.06493,-13.31736,-14.89703,-15.43137,-14.46163,-15.41447
DMKJLJHC_03270 50S ribosomal protein L4,-10.74078,-12.84171,-10.45672,-13.34683,-13.18092,-14.21635,-11.55963,-11.33478,-11.91396,-14.56063,-13.38327,-12.31062
DMKJLJHC_03271 50S ribosomal protein L3,-10.15576,-9.709355,-13.15997,-12.9254,-14.37757,-12.70632,-13.3232,-10.73663,-14.71575,-14.44906,-13.25938,-14.69778
DMKJLJHC_03272 30S ribosomal protein S10,-14.28493,-13.04611,-13.05063,-13.11733,-13.22127,-12.79197,-13.58649,-13.95663,-11.27943,-14.63096,-13.83489,-15.13367
DMKJLJHC_03295 Elongation factor Tu;DMKJLJHC_03273 Elongation factor Tu,-7.009201,-7.007506,-6.953506,-10.38506,-10.35679,-9.729479,-9.059302,-9.377429,-10.17399,-8.649468,-10.09779,-10.03373
DMKJLJHC_03274 Elongation factor G,-11.77488,-12.30143,-11.56982,-12.89408,-13.87622,-13.7389,-13.74103,-12.63788,-15.33353,-15.59903,-14.26606,-13.1844
