Fasta headers,P,P,P,TPA,TPA,TPA,BHET,BHET,BHET,PET,PET,PET,PETB,PETB,PETB
DMKJLJHC_00994 Ribosome-recycling factor,25.25324,25.07001,25.20071,22.62729,22.46391,22.48062,22.78453,23.04515,22.67928,22.70559,22.4462,22.49714,21.41714,22.25354,22.01071
DMKJLJHC_00995 Uridylate kinase,24.54156,24.49167,24.58371,24.10005,24.26864,24.19588,23.90067,24.13422,24.15915,24.10949,24.20068,24.13993,23.72422,21.59325,21.50226
DMKJLJHC_00999 Acetaldehyde dehydrogenase 2,29.20886,29.19929,29.07452,30.19249,30.01598,30.02538,31.33309,31.28708,31.28929,29.99267,30.19507,30.16147,29.56125,28.3253,29.84268
DMKJLJHC_01000 Peptidyl-prolyl cis-trans isomerase A,24.84364,24.5545,24.63522,24.97053,24.97334,25.04231,24.91082,25.23392,25.03263,25.15638,25.22645,24.97692,24.19212,21.37423,22.19889
DMKJLJHC_01001 Peptidyl-prolyl cis-trans isomerase B,24.91912,24.71539,24.71398,22.98793,22.87573,23.27199,22.53583,23.05161,22.78491,22.92506,22.23128,22.40922,22.1742,20.73094,22.6845
DMKJLJHC_01002 Phosphoglycerate kinase,27.84595,27.76775,27.65567,27.26231,27.33909,27.34706,27.30095,27.40738,27.43086,27.40568,27.70971,27.51646,24.54622,22.23696,21.64243
DMKJLJHC_01003 Fructose-bisphosphate aldolase class 1,24.12621,24.23359,24.14957,25.40785,25.65376,25.62926,24.94351,25.12013,25.07883,25.1343,25.37039,25.40315,26.13383,21.24577,24.93521
DMKJLJHC_01004 Thermostable carboxypeptidase 1,26.49788,26.67411,26.45267,26.32363,26.17066,26.21143,26.26999,26.36261,26.36065,26.38678,26.40144,26.2438,26.34499,21.41177,25.20027
DMKJLJHC_01005 Heme A synthase,23.308,23.48185,23.59389,21.19587,20.92774,21.41364,21.51012,20.34404,20.40717,21.25107,22.06118,21.94778,21.5801,22.22525,21.54063
DMKJLJHC_01006 hypothetical protein,23.21098,23.2627,23.10653,25.40957,25.22549,25.03234,25.33967,25.61229,25.64359,24.85795,25.23264,25.3658,22.77902,20.61153,23.2334
DMKJLJHC_01007 Maltose/maltodextrin import ATP-binding protein MalK,26.60074,26.62129,26.58377,26.71751,26.91752,26.77631,27.24572,27.12228,27.2589,26.85887,26.83978,26.63741,26.17287,22.40805,24.29971
"DMKJLJHC_01008 Oligo-1,6-glucosidase 1",23.55039,23.34543,23.38284,23.73387,23.79887,23.47122,23.55999,23.7025,23.71482,23.49741,23.60071,23.62723,21.8702,21.99786,21.58623
DMKJLJHC_01009 Trehalose transport system permease protein SugB,24.00607,23.74561,23.94798,24.25573,24.26835,24.22817,22.32836,22.79994,21.70011,24.33804,23.97954,24.27348,22.86616,22.20627,22.92953
DMKJLJHC_01010 Lactose transport system permease protein LacF,22.50072,22.32795,22.24899,22.71079,22.98564,21.27175,19.70848,21.11908,20.61529,23.03534,22.45689,22.60295,22.22221,21.63736,21.66467
DMKJLJHC_01011 hypothetical protein,29.60412,29.66255,29.47475,29.86406,29.79797,29.87072,29.80798,29.90239,29.698,29.92705,29.89669,29.86296,29.34032,27.92722,28.84065
"DMKJLJHC_01013 1,4-beta-D-glucan glucohydrolase",24.64268,24.51923,24.53433,24.42374,24.55783,24.55051,23.82571,24.13124,24.06636,24.53166,24.54315,24.47951,21.8829,22.64957,21.32678
DMKJLJHC_01014 Glucokinase,24.51791,24.85771,24.66628,24.68886,24.76228,24.9299,24.96987,24.68062,24.83981,24.95921,24.90123,24.95296,22.27744,21.38128,22.5309
DMKJLJHC_01026 (R)-citramalate synthase,20.74804,21.19039,20.81909,20.8001,20.3953,21.32361,23.38153,23.23611,23.15292,21.12256,21.11927,20.88494,22.21962,21.85933,21.4843
DMKJLJHC_01027 Cysteine--tRNA ligase,23.11447,23.28475,23.11558,23.27042,23.3978,23.22585,24.58021,24.50978,24.59463,23.52683,23.26785,23.37,21.05883,23.026,21.93956
DMKJLJHC_01029 Gamma-glutamyl-hercynylcysteine sulfoxide hydrolase,20.0997,20.32806,20.33713,20.07835,19.40894,19.33797,19.84913,19.86133,19.76165,20.10803,19.44966,19.7023,21.29545,21.43961,21.97651
DMKJLJHC_01030 hypothetical protein,21.05099,21.00457,20.57589,20.70539,20.91772,20.10058,20.17848,19.9671,19.75334,19.8931,19.36007,20.35277,21.26245,21.90414,21.56877
DMKJLJHC_01031 Alanine--tRNA ligase,28.37397,28.25939,28.30173,28.26101,27.83864,28.12662,28.04812,27.99221,28.05719,28.12396,28.23105,28.2116,27.1377,23.02047,27.16337
DMKJLJHC_01032 Protein RecA,24.58061,24.38192,24.67282,25.0827,25.31583,25.21453,24.89268,24.99014,24.97158,25.11514,25.12372,25.08501,24.1689,21.87158,23.68859
DMKJLJHC_01036 Putative aldehyde dehydrogenase AldA,25.38087,25.40152,25.31538,25.41455,25.10378,25.38929,24.97972,24.85951,24.90058,25.24227,25.44424,25.41995,21.09398,21.53268,23.05197
DMKJLJHC_01037 Deoxyribose-phosphate aldolase,22.43502,22.86595,23.28715,22.94582,22.64546,23.03875,23.17848,22.7409,22.69956,23.15233,23.11194,23.01698,20.41431,21.6728,21.7552
DMKJLJHC_01038 Ribokinase,22.16266,21.74197,22.29435,19.48546,21.4108,20.46626,20.04855,20.29314,19.64816,19.67487,21.78313,19.56078,22.11267,21.34933,21.75615
DMKJLJHC_01047 Inosine-5-monophosphate dehydrogenase,28.20387,28.20583,28.03701,28.03737,27.88419,27.84368,28.20476,28.21813,28.2893,27.81623,28.16983,28.08365,27.45317,23.60026,27.43428
DMKJLJHC_01050 hypothetical protein,27.62499,27.64444,27.53185,27.93708,28.28718,28.36624,28.46264,28.35014,28.42406,28.5469,28.16447,28.01765,27.34486,23.91825,25.57401
DMKJLJHC_01052 hypothetical protein,21.96074,21.56281,21.50349,20.64366,19.53712,18.85059,21.52157,21.64777,21.58284,21.41689,21.12572,20.96346,22.28973,21.67806,22.81442
DMKJLJHC_01053 Homoserine O-succinyltransferase,22.97526,22.7872,22.83158,22.57681,22.4226,22.52071,22.89401,22.94712,22.72021,22.70527,22.55873,22.81609,22.30579,21.7845,21.40559
DMKJLJHC_01055 hypothetical protein,23.31907,23.18227,23.33987,23.29614,23.56372,23.69594,23.60637,23.65185,23.65502,23.35743,23.48861,23.34232,22.06293,21.63934,21.61838
DMKJLJHC_01057 hypothetical protein,26.91969,26.61877,26.93157,25.68675,24.86476,25.43314,25.67244,23.20864,25.46778,24.64207,24.49082,21.7083,22.28166,24.59081,26.61063
DMKJLJHC_01061 Delta(1)-pyrroline-2-carboxylate reductase,20.56197,21.02272,20.34115,19.82098,18.74021,21.03349,20.92231,20.75246,20.68714,20.48345,19.34951,20.42593,21.31672,22.13525,21.85509
DMKJLJHC_01064 hypothetical protein,22.51865,22.31606,22.34822,19.01114,20.44089,20.51884,20.17682,20.22312,19.1292,20.54491,19.3025,20.16472,21.66641,20.84899,21.79404
DMKJLJHC_01065 hypothetical protein,23.2446,23.51424,23.48136,21.03543,20.88278,21.19502,20.68503,20.96353,19.90895,21.89093,20.87117,21.64891,21.0913,21.51107,21.22172
DMKJLJHC_01068 Outer membrane protein W,19.65646,21.07326,19.77376,20.38806,21.17505,20.53155,21.52593,21.37071,18.54077,19.85591,20.90272,20.63485,22.32751,20.76948,21.33254
DMKJLJHC_01070 Acyl-CoA dehydrogenase,23.9419,23.94708,23.92461,26.81446,26.86242,26.85293,27.71017,27.76844,27.68766,26.84182,27.29079,27.20434,26.31771,22.62587,24.11084
"DMKJLJHC_01071 dTDP-3-amino-3,4,6-trideoxy-alpha-D-glucose transaminase",21.36533,20.98579,21.67551,19.9813,21.26871,21.46807,21.51586,21.39289,21.5031,21.15894,21.36351,20.49228,22.26488,20.76296,22.06546
"DMKJLJHC_01073 Phosphoglycolate phosphatase, chromosomal",23.61919,23.83036,22.98574,19.34707,22.97281,22.18089,22.74526,20.98384,23.07079,22.94564,18.9747,19.83893,21.53912,22.36996,21.58385
DMKJLJHC_01074 Bifunctional protein GlmU,26.13354,26.15095,26.09328,25.55737,25.52952,25.55045,26.28343,26.26127,26.29507,25.69835,25.46778,25.54424,23.59651,22.29959,22.45969
DMKJLJHC_01075 Glutamine--fructose-6-phosphate aminotransferase [isomerizing],25.6848,25.84302,25.75664,25.19103,25.20086,25.25872,25.9213,25.90976,25.93735,25.08071,25.20202,25.34767,23.18506,21.4864,22.86931
DMKJLJHC_01076 hypothetical protein,22.00556,22.09658,21.49819,21.31821,21.48335,20.14685,21.50465,21.22294,21.57446,21.36629,20.85256,21.18483,22.00292,21.39105,22.14913
DMKJLJHC_01077 hypothetical protein,22.37944,22.16717,22.36597,22.3083,22.83761,22.84086,22.50033,23.08218,22.71297,22.93659,22.26565,22.68001,22.51628,22.48497,21.83754
DMKJLJHC_01087 DNA-binding transcriptional activator DecR,22.00494,22.11095,21.99061,20.55647,20.8278,20.47684,20.70168,20.53934,20.55936,20.64825,20.50736,20.38321,21.93186,21.97173,21.6894
DMKJLJHC_01088 Aminopeptidase T,26.6381,26.64842,26.3278,26.19391,25.82445,25.72271,25.92859,26.19699,25.94744,25.98224,26.04664,25.99181,25.78701,21.53069,23.69519
DMKJLJHC_01092 D-xylose-binding periplasmic protein,26.24693,26.28842,26.195,26.97279,27.15083,27.08831,26.77467,27.12898,26.97847,27.43651,27.25196,27.37576,27.39157,25.09836,27.31639
DMKJLJHC_01094 Ribose import ATP-binding protein RbsA,19.7112,20.63941,18.97116,20.93654,19.94055,20.42249,20.88029,20.88539,21.02958,21.25523,21.39247,21.10098,21.71193,21.03546,21.00813
DMKJLJHC_01095 Xylose isomerase,24.16323,24.19828,24.27405,25.26188,25.46242,25.43062,25.84881,25.72754,25.77034,25.53558,25.53979,25.5131,25.01912,21.952,25.6675
DMKJLJHC_01096 hypothetical protein,21.51379,21.41725,21.71083,21.52061,22.06392,21.83333,21.60223,21.84498,21.78193,21.70489,21.77141,21.48783,22.62689,22.31343,20.73145
DMKJLJHC_01097 3-oxoacyl-[acyl-carrier-protein] reductase FabG,24.41151,24.43116,24.50773,24.28348,24.52612,24.18654,25.04785,25.12833,25.04889,24.3908,24.52689,24.40133,24.3048,21.17235,24.29852
DMKJLJHC_01098 Fe(3+) ions import ATP-binding protein FbpC,20.59614,20.5793,20.71624,20.93373,20.90683,20.85886,20.90294,20.40538,20.68175,20.6281,20.95127,20.90514,21.99907,21.24684,21.92791
DMKJLJHC_01099 Sarcosine oxidase subunit gamma,19.27752,21.60693,19.10068,22.68667,22.73793,22.82588,22.99891,22.68643,22.70717,23.08322,22.47867,22.32817,21.56141,22.77352,21.12559
DMKJLJHC_01100 Sarcosine oxidase subunit alpha,24.96512,25.05076,25.02555,26.32809,26.02291,26.20047,25.90903,25.60786,26.04893,26.23927,26.33345,26.31859,22.34305,21.30023,22.73635
DMKJLJHC_01103 Sarcosine oxidase subunit beta,23.27156,23.42944,23.53005,25.10534,25.17672,25.10001,25.02918,24.68405,24.96807,25.12943,25.09043,25.13942,22.30092,21.71486,22.67191
DMKJLJHC_01104 hypothetical protein,22.08453,22.10575,21.35019,21.43461,20.62929,19.91253,21.72991,21.53398,19.98874,21.06717,21.54406,21.13132,22.34995,22.48616,21.5506
DMKJLJHC_01112 UDP-N-acetylglucosamine 4-epimerase,21.78273,21.75975,21.49746,21.79114,21.99379,21.6054,21.90194,21.81738,21.75983,21.53555,21.78037,21.78101,22.27076,22.58271,22.2023
DMKJLJHC_01113 hypothetical protein,22.32069,22.24409,21.88569,21.9198,22.15382,22.13468,22.15952,21.94917,21.76583,22.19823,22.04427,21.71133,22.04291,21.41538,21.67335
DMKJLJHC_01116 L-threonine dehydratase catabolic TdcB,21.08362,20.70759,20.84521,21.01202,19.92774,20.32413,20.75488,19.7448,20.65402,19.56566,19.60742,18.77916,21.36139,21.11602,22.22334
DMKJLJHC_01117 Glutamine transport ATP-binding protein GlnQ,21.7649,21.44642,21.69,20.54581,21.32809,20.12164,20.98329,20.49298,20.7523,20.61369,21.28726,19.22723,21.44924,22.50343,21.00773
DMKJLJHC_01120 L-cystine-binding protein FliY,27.64815,27.97918,28.04197,25.8474,26.0337,26.40137,26.337,26.52398,26.53905,26.69644,26.12735,26.1417,27.41546,25.40298,26.30736
DMKJLJHC_01121 Ectoine hydrolase,23.77946,24.25191,24.29705,21.11984,21.25402,21.83738,21.66878,21.54246,21.55936,21.38158,21.06891,21.75144,21.01596,22.58793,21.35415
"DMKJLJHC_01125 Protocatechuate 3,4-dioxygenase beta chain",20.71179,20.35132,20.67814,20.78101,20.95886,20.98099,20.383,20.44344,20.46214,20.71725,20.71532,20.60223,22.36797,21.34184,21.53239
DMKJLJHC_01128 Glycine betaine/proline betaine transporter BetS,20.1305,20.2233,19.53289,20.99707,20.98607,21.37385,19.08754,21.4827,20.3588,21.16613,21.13276,21.3888,21.81613,21.08477,21.73011
DMKJLJHC_01129 hypothetical protein,27.98218,27.98615,27.91239,27.82578,28.02158,27.79749,26.82372,26.94771,26.98631,28.22532,28.09889,28.10094,27.4287,22.0456,26.29995
DMKJLJHC_01133 Trehalose import ATP-binding protein SugC,21.02851,20.73322,20.85931,21.618,22.50482,21.73991,21.62498,21.71226,21.79189,21.94981,22.26637,22.50782,22.90765,22.33936,22.82912
DMKJLJHC_01134 sn-glycerol-3-phosphate import ATP-binding protein UgpC,19.27222,19.70293,21.73302,23.0478,22.46326,22.7095,22.23783,22.48458,22.32655,23.08552,22.96517,23.12818,21.61053,22.22646,21.59756
"DMKJLJHC_01142 Biphenyl 2,3-dioxygenase subunit beta",18.7141,20.98961,18.97078,21.15178,21.08044,21.29491,21.55743,21.54726,19.79052,20.26832,19.84719,19.52899,21.63546,22.02422,21.82535
"DMKJLJHC_01143 Anthranilate 1,2-dioxygenase large subunit",20.38709,20.38623,20.48755,24.39257,23.78397,24.02073,20.83605,19.94287,20.22108,21.44005,21.43578,20.99037,22.64869,22.19038,22.08564
DMKJLJHC_01148 Phenylacetaldehyde dehydrogenase,21.91568,22.76727,23.19111,25.2321,24.95287,25.22993,20.69285,20.20946,20.95377,22.84353,23.26198,22.50096,22.01493,22.05515,22.09808
DMKJLJHC_01155 Solute-binding protein,20.83688,21.3687,20.47986,24.80931,24.92375,24.76906,20.13486,19.98836,19.92496,20.43604,21.13025,21.10431,22.58219,21.19028,21.74424
DMKJLJHC_01160 4-methylaminobutanoate oxidase (formaldehyde-forming),19.11777,20.43889,21.67507,24.24569,23.88288,23.78945,20.75669,20.4831,21.58393,23.79342,19.80762,23.8187,22.36234,20.89471,21.85156
"DMKJLJHC_01185 1,5-anhydro-D-fructose reductase",22.04414,21.73273,21.76503,22.79142,23.04833,22.89853,22.98909,23.00825,22.87897,23.31866,22.9615,22.7882,21.7613,21.20537,20.62768
DMKJLJHC_01186 D-xylose dehydrogenase,24.06521,24.04968,24.08432,25.12676,25.15337,25.06312,24.88725,24.76045,24.98203,25.07333,25.37657,25.1922,25.07957,21.49201,22.10833
DMKJLJHC_01187 Glucose--fructose oxidoreductase,22.6237,22.70719,22.5487,23.08312,23.48407,23.29165,23.01025,22.87648,22.93819,23.57311,23.4913,23.61504,22.73444,21.30915,21.19847
DMKJLJHC_01188 putative arabinose-binding protein,27.71444,27.78044,27.67411,29.37198,29.40438,29.20795,28.42073,28.4253,28.42514,29.38946,29.48808,29.47539,28.77014,26.8044,27.94061
DMKJLJHC_01190 L-arabinose transport system permease protein AraQ,21.96762,21.90209,22.03359,22.55672,22.63061,22.95598,19.87093,18.62953,19.38548,22.52659,22.74022,22.62435,21.41158,21.55533,21.99622
DMKJLJHC_01191 Maltose/maltodextrin import ATP-binding protein MalK,23.52707,23.5545,23.52659,24.66622,24.74638,24.91525,24.62076,24.31105,24.61577,25.15093,25.06419,25.05598,21.25075,21.71584,20.98641
DMKJLJHC_01192 Mannonate dehydratase,21.19568,21.59728,21.76571,21.88911,21.45312,21.84751,20.00331,20.88078,20.21008,22.42106,22.60978,22.59339,22.13515,22.50934,21.35131
DMKJLJHC_01194 4-hydroxyacetophenone monooxygenase,23.67422,23.36493,23.49607,24.3658,24.14445,24.49613,25.6844,25.2966,25.62157,25.18427,25.0982,25.18226,21.06649,22.35734,22.47505
DMKJLJHC_01195 Sorbitol dehydrogenase,25.53712,25.42419,25.47271,26.26372,26.23392,26.27897,26.88413,26.73789,26.7661,26.8007,26.90862,26.69883,25.98251,21.36582,25.33187
DMKJLJHC_01199 Transcriptional regulatory protein DegU,21.84322,22.1602,21.56412,21.29872,21.70881,21.45638,22.46576,22.54908,22.06247,21.51326,21.41364,21.85072,22.69794,21.78833,22.19088
DMKJLJHC_01201 hypothetical protein,22.9153,23.18911,23.4789,21.48959,22.65796,22.4986,24.50894,24.24351,24.21756,23.10052,23.01517,23.11251,21.975,21.54829,21.75964
DMKJLJHC_01202 Autoinducer 2 sensor kinase/phosphatase LuxQ,22.62551,22.79602,22.81319,22.93817,22.62623,23.05267,23.52061,23.73428,23.36506,23.4443,23.46276,23.57946,21.80536,20.966,21.98992
DMKJLJHC_01203 hypothetical protein,22.92423,23.03123,22.69034,22.99621,23.00187,22.99016,23.25724,23.18799,23.22053,22.9446,22.9994,23.00967,23.30828,21.98429,21.49675
DMKJLJHC_01209 hypothetical protein,24.49302,24.56854,24.45695,24.42592,24.22766,24.01069,24.14274,24.09305,24.01776,23.94333,24.19355,24.26721,22.10093,20.63286,22.18462
DMKJLJHC_01214 Sulfoacetaldehyde acetyltransferase,27.51262,27.66865,27.50975,28.04103,28.20018,27.99669,27.37028,27.14928,27.57073,28.12288,28.33607,28.54425,26.92637,24.88386,26.39903
DMKJLJHC_01216 hypothetical protein,22.77473,23.06842,23.16757,23.16385,23.52815,23.45864,22.59311,22.19484,22.2035,23.67831,23.33361,23.64471,22.112,21.24696,20.97261
DMKJLJHC_01234 30S ribosomal protein S1,22.93477,22.7878,22.86763,22.50254,21.99807,22.11194,21.9166,19.50836,22.05089,22.18314,22.35829,22.16131,21.89389,21.69118,22.46926
DMKJLJHC_01247 Lon protease,24.44847,24.35891,24.32107,24.7517,24.47723,24.729,25.01827,25.07664,24.97136,24.57074,24.48671,24.72515,21.77959,21.33556,21.35983
DMKJLJHC_01248 hypothetical protein,21.47135,22.08664,22.345,22.12139,22.08359,22.41207,20.20409,22.22709,21.63334,22.35687,22.52322,22.45719,21.55714,20.00252,21.90721
"DMKJLJHC_01251 Putative quercetin 2,3-dioxygenase",20.24166,21.24045,21.92263,20.03805,21.20078,20.18448,22.44109,22.68464,22.54915,21.21199,21.43375,21.04126,22.49916,22.0816,22.41833
DMKJLJHC_01254 Gamma-glutamyl phosphate reductase,24.58772,24.6888,24.6602,24.59884,24.6138,24.52295,24.6944,24.75934,24.66232,24.50191,24.6147,24.52546,24.84101,22.72027,21.99118
DMKJLJHC_01258 hypothetical protein,19.87999,20.17048,20.4916,19.29831,20.16074,20.03185,20.35589,20.71914,20.99849,19.46479,19.92183,18.97751,22.48396,21.15016,21.24169
DMKJLJHC_01261 Trk system potassium uptake protein TrkA,25.49759,25.52106,25.45911,25.70662,25.82046,25.80159,25.74504,25.49869,25.76615,25.8574,25.61877,25.72429,25.91079,22.05336,24.60128
DMKJLJHC_01263 RNA-binding protein Hfq,23.99662,23.99817,23.70767,22.48451,23.31133,22.60268,22.88491,22.36169,22.79962,23.33606,22.00313,22.88431,22.00157,22.86298,20.91115
DMKJLJHC_01264 GTPase HflX,24.94967,24.85904,24.85894,24.72884,24.53528,24.73567,24.4742,24.09152,24.41796,24.68998,24.56477,24.88758,21.8907,21.78302,21.83399
DMKJLJHC_01265 Acyl-homoserine lactone acylase QuiP,24.28496,24.2576,23.89421,23.83663,23.9136,23.6309,23.30772,22.82677,23.29137,23.40133,23.45124,23.64834,22.62047,21.41141,21.95937
DMKJLJHC_01266 2-hydroxy-3-oxopropionate reductase,22.99077,23.28588,23.07796,23.16151,23.47494,23.32485,23.70694,23.78197,23.55403,23.25077,23.25,23.13129,24.44689,21.29073,20.65019
DMKJLJHC_01269 Single-stranded DNA-binding protein,25.47748,25.93829,25.86889,23.98233,24.4999,24.28065,23.98815,23.99593,23.97622,23.92542,23.74047,23.80006,22.06622,21.22927,22.28831
DMKJLJHC_01274 hypothetical protein,24.40808,24.11656,23.90132,23.72546,23.68827,23.69816,23.84785,23.87615,23.85785,23.51123,23.94244,23.8446,21.16914,21.52593,21.85629
DMKJLJHC_01275 Delta-aminolevulinic acid dehydratase,23.56372,23.55251,23.59503,23.19336,23.6006,23.3668,23.39859,23.30883,23.42368,23.41351,23.4996,23.29516,21.79076,20.75252,20.91525
DMKJLJHC_01276 hypothetical protein,20.30586,20.96134,20.24586,19.61325,19.86783,20.60267,19.98905,20.37328,19.98826,20.0759,18.61706,19.83568,21.13447,21.25917,21.31647
DMKJLJHC_01277 Transcription-repair-coupling factor,24.18238,24.17242,24.06792,23.71324,23.95091,23.88101,23.68977,23.45287,23.6633,23.86505,23.81147,23.78137,22.12501,21.61844,21.84868
DMKJLJHC_01278 Fumarate hydratase class II,27.93433,27.99145,27.76604,27.87672,27.85644,27.85745,27.81409,27.83714,27.77247,27.84822,27.88675,27.85204,27.61049,21.711,27.38961
DMKJLJHC_01285 ADP-ribose pyrophosphatase,21.45372,21.42552,21.44995,21.89197,21.90808,21.76235,21.43497,21.6285,21.78728,21.89089,21.58738,21.56141,21.62172,23.39515,21.75582
DMKJLJHC_01286 Cysteine synthase,25.31638,25.72406,25.71007,25.51033,25.78818,25.77198,26.02232,26.13868,26.17432,25.29148,25.62266,25.57257,23.75022,21.16066,22.95881
DMKJLJHC_01287 putative MscS family protein.1,23.93706,23.7965,23.92832,24.14562,23.89199,24.1689,24.03934,24.14297,24.29859,24.12139,23.98633,24.10334,21.91351,21.36541,21.76741
DMKJLJHC_01290 hypothetical protein,19.81206,19.46174,19.56296,20.12042,21.97421,21.51461,20.8777,20.58765,20.53355,20.88584,21.62426,21.2049,20.86651,21.27754,22.88729
DMKJLJHC_01291 High-affinity branched-chain amino acid transport system permease protein LivH,20.78477,21.42229,21.46807,20.53105,21.18392,18.76793,21.18568,20.65255,20.79384,18.57157,22.22923,20.58909,22.39245,22.82691,21.86566
DMKJLJHC_01292 High-affinity branched-chain amino acid transport ATP-binding protein LivF,23.07591,23.2894,23.58829,24.04235,23.96499,24.19918,23.95438,23.86543,23.80656,23.68945,24.16192,24.1102,22.11363,20.9506,21.17717
DMKJLJHC_01293 Lipopolysaccharide export system ATP-binding protein LptB,23.0229,23.25883,23.50482,23.86353,23.72983,23.72546,23.72244,23.52803,23.73138,23.59309,23.46164,23.58118,21.71189,22.49952,21.68061
DMKJLJHC_01294 Leu/Ile/Val-binding protein,28.15465,28.3043,28.12105,29.7597,29.62502,29.64974,29.32798,29.66988,29.37923,29.94698,30.0177,29.89444,29.95296,28.07913,29.34976
DMKJLJHC_01295 HTH-type transcriptional regulator CdhR,20.92809,21.49395,19.58545,21.85491,21.67198,21.86094,21.602,21.908,21.59364,21.82018,21.84165,21.79337,23.04926,22.59807,21.29077
DMKJLJHC_01296 Phospho-2-dehydro-3-deoxyheptonate aldolase,26.35701,26.49019,26.28849,25.46983,25.57969,25.3584,25.50312,25.65009,25.44408,25.52671,25.46631,25.58746,25.07202,21.85538,22.94901
"DMKJLJHC_01297 Oligo-1,6-glucosidase",28.18579,28.20373,28.16782,26.85923,27.06188,26.88577,27.35254,27.30042,27.40105,26.82869,26.88005,26.9061,27.01319,25.34001,26.68217
DMKJLJHC_01298 Maltodextrin phosphorylase,24.27427,24.48726,24.4864,23.61178,23.26642,23.30883,23.27099,22.72767,23.21796,23.3684,23.417,23.38087,22.58261,20.88259,22.1984
"DMKJLJHC_01299 1,4-alpha-glucan branching enzyme GlgB",23.44556,23.37915,23.56721,23.54769,23.61189,23.48308,22.82412,20.48146,23.1786,23.8291,24.02251,23.86976,22.50308,21.77151,21.8952
DMKJLJHC_01300 Glucose-1-phosphate adenylyltransferase,26.12916,26.23318,26.16123,26.03515,26.535,26.20258,25.491,25.21416,25.73374,26.14567,26.19912,26.6633,23.22252,21.95173,23.59012
DMKJLJHC_01301 Glycogen synthase 1,23.70335,23.71931,23.40419,23.73531,23.83779,23.83827,23.50337,23.30006,23.46151,23.6872,23.85946,24.00076,22.01101,20.71481,20.89225
DMKJLJHC_01302 Glycogen operon protein GlgX,20.59323,20.43033,19.9412,20.84,20.966,20.68475,20.51017,21.20711,20.52229,20.88308,21.11312,20.91605,22.03156,21.31537,22.19142
DMKJLJHC_01303 Phosphoglucomutase,25.33477,25.3657,25.30337,25.44743,25.30796,25.27387,25.22894,25.2571,25.35622,25.13911,25.47652,25.55494,24.39054,21.35186,21.94066
DMKJLJHC_01304 Ribulose-phosphate 3-epimerase,23.58669,23.31493,23.40445,23.42662,23.64735,23.43873,23.87736,23.87586,20.72788,23.37079,23.55742,23.74632,22.11387,23.10457,21.47185
DMKJLJHC_01309 Elongation factor Ts,27.88268,27.85727,27.92088,26.94134,26.86502,26.81849,27.41248,27.61365,27.51337,26.93044,27.06938,27.08426,27.05745,24.85567,26.61821
DMKJLJHC_01310 30S ribosomal protein S2,26.94425,26.98468,27.01425,26.31432,26.24253,26.2511,26.3726,26.53777,26.40545,26.08229,26.04135,26.02773,26.20713,21.78531,25.20217
DMKJLJHC_01312 Pseudouridine-5-phosphate glycosidase,25.08764,25.30306,25.35219,24.78167,25.12518,25.21382,25.1755,24.98446,25.22479,25.03006,24.96437,25.04406,21.28496,22.60178,20.70896
DMKJLJHC_01314 hypothetical protein,21.4442,21.04667,21.28201,21.65364,21.84445,22.21021,22.14317,22.28486,22.1906,22.10079,21.96212,22.02658,21.70858,21.74372,21.65645
DMKJLJHC_01315 Alkaline phosphatase synthesis sensor protein PhoR,23.24101,23.45538,23.09987,23.27284,23.19111,23.18628,23.31465,23.1553,23.47568,23.34327,22.99764,23.11215,21.25179,22.82006,21.98212
DMKJLJHC_01316 hypothetical protein,24.03145,24.34069,24.25811,24.80346,25.03402,25.13614,24.73174,24.41622,24.52498,25.56465,24.84369,25.10937,24.98242,21.51191,22.69553
DMKJLJHC_01319 hypothetical protein,22.99568,22.38393,22.80041,23.43695,23.37172,23.54687,23.884,23.65753,24.12881,23.49668,23.50179,23.35246,22.34,21.66071,21.50037
DMKJLJHC_01321 Oligopeptide-binding protein AppA,25.6216,25.57043,25.46167,25.16058,25.48524,25.1648,25.20505,25.16749,25.41725,25.54492,25.41674,25.43597,23.07974,21.55624,24.77625
DMKJLJHC_01325 hypothetical protein,22.29047,21.9365,22.26825,21.84234,21.70944,21.59231,21.72342,21.97186,21.37761,21.90808,21.63449,21.84621,21.19347,21.40289,21.95027
DMKJLJHC_01327 Nitrogen regulation protein NR(I),25.69766,25.77528,25.5823,25.84283,25.74055,25.79211,25.65981,25.74294,25.70324,25.8334,25.69333,25.92141,25.89386,21.56581,26.13579
DMKJLJHC_01328 Sensor protein kinase WalK,22.64775,22.75175,23.53005,21.7469,23.04593,22.13536,21.521,20.4187,22.6868,23.04717,22.81851,22.75397,20.96807,21.44534,22.60469
DMKJLJHC_01329 Nitrogen assimilation regulatory protein,24.57045,24.60575,24.51683,24.55016,24.67012,24.53671,24.66346,24.58314,24.61661,24.47066,24.31941,24.44531,22.80906,21.79374,21.50611
DMKJLJHC_01332 Bifunctional enzyme IspD/IspF,23.71733,23.6936,23.53931,23.15989,23.25652,23.14715,23.33879,23.2571,23.09777,23.09644,23.15562,23.23942,21.94636,21.86807,22.14507
DMKJLJHC_01334 Nicotinamide-nucleotide amidohydrolase PncC,20.58389,20.79915,20.57607,20.28467,20.30441,19.96014,20.42306,20.60765,20.28139,20.46872,20.24644,18.95453,21.52228,21.69066,21.97638
