Fasta headers,P,P,P,TPA,TPA,TPA,BHET,BHET,BHET,PET,PET,PET,P_relabun,TPA_relabun,BHET_relabun,PET_relabun,P,TPA,BHET,PET,P_sd,TPA_sd,BHET_sd,PET_sd,P_TPA_fc,P_BHET_fc,P_PET_fc,TPA_BHET_fc,TPA_PET_fc,BHET_PET_fc,P_TPA_ttest,P_BHET_ttest,P_PET_ttest,P_TPA_ttest_sig,P_BHET_ttest_sig,P_PET_ttest_sig,TPA_BHET_ttest,TPA_PET_ttest,TPA_BHET_ttest_sig,TPA_PET_ttest_sig,BHET_PET_ttest,BHET_PET_ttest_sig
GFJPDDAG_03086 hypothetical protein,-11.39768,-9.351904,-10.359,-15.04928,-13.46991,-14.4488,-14.4666,-13.07668,-14.60769,-14.34933,-13.75426,-14.96373,0.096425304,0.0094061,0.013298864,0.008514576,-10.369528,-14.32266333,-14.05032333,-14.35577333,0.835217732,0.650914866,0.690875098,0.49378508,-3.953135333,-3.680795333,-3.986245333,0.27234,-0.03311,-0.30545,0.006171874,0.008633132,0.004366681,+,+,+,0.705689255,0.95704554,,,0.637747538,
GFJPDDAG_03145 Trifunctional nucleotide phosphoesterase protein YfkN,-7.176277,-7.652456,-6.743125,-11.52296,-11.08097,-10.25685,-9.760539,-10.99347,-9.35534,-10.27129,-7.975323,-9.954762,0.873248557,0.097185332,0.214837907,0.264156619,-7.190619333,-10.95359333,-10.03644967,-9.400458333,0.371371327,0.524675928,0.696640747,1.015974256,-3.762974,-2.845830333,-2.209839,0.917143667,1.553135,0.635991333,0.001161942,0.006992241,0.044603872,+,+,+,0.211164194,0.127139382,,,0.505772074,
GFJPDDAG_03179 Flagellin,-1.813348,-1.184783,-1.945606,-2.149793,-3.217422,-1.652696,-2.237101,-3.122921,-2.945692,-2.081804,-3.651345,-3.278662,40.70604804,38.067961,33.11008507,22.2539079,-1.647912333,-2.339970333,-2.768571333,-3.003937,0.331903228,0.652797788,0.382707953,0.669562099,-0.692058,-1.120659,-1.356024667,-0.428601,-0.663966667,-0.235365667,0.252358635,0.035235546,0.062231901,,+,,0.46800406,0.372129767,,,0.688277795,
GFJPDDAG_03233 N-acetylmuramoyl-L-alanine amidase A,-12.08211,-9.958061,-9.597141,-14.5788,-13.72513,-14.88706,-13.38409,-13.82194,-14.0371,-16.2659,-15.02332,-14.92728,0.085336865,0.008933734,0.016402507,0.004113048,-10.54577067,-14.39699667,-13.74771,-15.4055,1.096302793,0.491466968,0.271708281,0.609656756,-3.851226,-3.201939333,-4.859729333,0.649286667,-1.008503333,-1.65779,0.010550512,0.016007812,0.005402885,+,+,+,0.177367514,0.142659903,,,0.024616034,+
"GFJPDDAG_03277 2,3-bisphosphoglycerate-independent phosphoglycerate mutase",-11.63816,-11.39508,-12.3561,-11.23495,-11.79169,-11.75218,-11.80386,-12.45543,-11.41498,-11.27918,-10.9002,-12.25691,0.035862924,0.062393335,0.059389299,0.062550294,-11.79644667,-11.59294,-11.89142333,-11.47876333,0.407987632,0.253650534,0.42925094,0.571571306,0.203506667,-0.094976667,0.317683333,-0.298483333,0.114176667,0.41266,0.581399294,0.831693016,0.557129191,,,,0.444885477,0.808980624,,,0.460085524,
GFJPDDAG_03319 Bacillolysin,-12.12431,-12.15132,-11.75017,-14.14247,-14.46744,-14.85223,-14.66691,-14.51131,-13.55564,-15.99031,-15.9426,-15.36947,0.03095859,0.008391217,0.011623192,0.003200391,-12.0086,-14.48738,-14.24462,-15.76746,0.183069993,0.290101151,0.491306368,0.282094654,-2.47878,-2.23602,-3.75886,0.24276,-1.28008,-1.52284,0.000516734,0.003809324,9.36E-05,+,+,+,0.579805911,0.011042057,,+,0.019080568,+
GFJPDDAG_03377 Glycine cleavage system H protein,-9.791369,-8.007875,-9.31294,-14.60128,-13.73427,-14.01856,-10.30463,-14.21871,-10.07811,-15.34718,-14.08603,-15.8055,0.242774521,0.010839478,0.076095422,0.005155592,-9.037394667,-14.11803667,-11.53381667,-15.07957,0.753727022,0.360876979,1.900757215,0.727028475,-5.080642,-2.496422,-6.042175333,2.58422,-0.961533333,-3.545753333,0.001005456,0.159313366,0.001227982,+,,+,0.131905259,0.169178429,,,0.069389641,
GFJPDDAG_03400 hypothetical protein,-12.69059,-10.91329,-12.6626,-13.80035,-15.25346,-11.0266,-15.23535,-14.77519,-15.18432,-13.24327,-14.3878,-14.1923,0.02928401,0.018329853,0.006582343,0.01134972,-12.08882667,-13.36013667,-15.06495333,-13.94112333,0.831308487,1.753458905,0.205950006,0.499869662,-1.27131,-2.976126667,-1.852296667,-1.704816667,-0.580986667,1.12383,0.406627799,0.007961343,0.054066454,,+,,0.243816794,0.675603721,,,0.042399148,+
GFJPDDAG_03685 ATP synthase subunit alpha,-12.65427,-11.49343,-12.52177,-11.25233,-12.69946,-10.27384,-15.21291,-14.30563,-12.59092,-11.96527,-15.20196,-12.90711,0.026680452,0.070900145,0.013427025,0.017001554,-12.22315667,-11.40854333,-14.03648667,-13.35811333,0.518822268,0.996396859,1.087209422,1.359311969,0.814613333,-1.81333,-1.134956667,-2.627943333,-1.94957,0.678373333,0.36308827,0.100347016,0.331856695,,,,0.065349623,0.177203344,,,0.610859871,
GFJPDDAG_03687 ATP synthase subunit beta,-10.94738,-9.52951,-11.2517,-9.698014,-12.20221,-9.516935,-13.08277,-14.74998,-13.41103,-10.31061,-13.583,-14.36671,0.083555982,0.135662077,0.016400044,0.025853148,-10.57619667,-10.47238633,-13.74792667,-12.75344,0.75047425,1.225401931,0.721120341,1.756723114,0.103810333,-3.17173,-2.177243333,-3.275540333,-2.281053667,0.994486667,0.923540278,0.012548562,0.182292754,,+,,0.03114028,0.206506466,+,,0.500041734,
GFJPDDAG_03704 3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ,-11.70721,-10.60001,-9.475982,-13.80124,-13.86001,-12.58386,-14.88689,-14.42566,-14.7545,-12.61023,-10.53578,-12.45965,0.082508292,0.017645438,0.008541786,0.047740929,-10.59440067,-13.41503667,-14.68901667,-11.86855333,0.910903652,0.588220178,0.19390604,0.944415923,-2.820636,-4.094616,-1.274152667,-1.27398,1.546483333,2.820463333,0.021226532,0.003405736,0.241609986,+,+,,0.043723912,0.120765542,+,,0.014409346,+
GFJPDDAG_03743 Beta-N-acetylglucosaminidase,-14.10944,-14.30554,-14.13753,-15.23302,-15.04456,-15.10544,-13.93192,-12.62659,-14.74544,-15.12366,-15.12833,-14.93176,0.00685282,0.005383658,0.016173624,0.005221477,-14.18417,-15.12767333,-13.76798333,-15.06125,0.086584332,0.07852827,0.872749584,0.091583104,-0.943503333,0.416186667,-0.87708,1.35969,0.066423333,-1.293266667,0.000336004,0.538919411,0.000597799,+,,+,0.093233932,0.479677649,,,0.105522705,
GFJPDDAG_03838 Mercuric reductase,-14.58753,-16.35459,-14.78958,-15.35121,-14.77543,-14.29347,-14.26599,-12.01737,-12.47723,-15.47451,-16.72181,-15.07844,0.003287448,0.006725104,0.029108282,0.00322088,-15.2439,-14.80670333,-12.92019667,-15.75825333,0.789696253,0.432386396,0.969961366,0.700261355,0.437196667,2.323703333,-0.514353333,1.886506667,-0.95155,-2.838056667,0.529986474,0.058348876,0.528601042,,,,0.065899919,0.177364551,,,0.028437557,+
GFJPDDAG_03960 Bacterial non-heme ferritin,-9.640997,-8.81782,-9.359933,-7.498879,-8.439485,-7.420015,-11.56321,-13.14897,-13.05563,-8.615733,-8.119173,-6.973582,0.206207245,0.873179033,0.036613009,0.745920853,-9.272916667,-7.786126333,-12.58927,-7.902829333,0.341646967,0.463114848,0.726533978,0.687637702,1.486790333,-3.316353333,1.370087333,-4.803143667,-0.116703,4.686440667,0.02170244,0.004281345,0.065116436,+,+,,0.001399514,0.85191363,+,,0.002692053,+
GFJPDDAG_04002 Periplasmic dipeptide transport protein,-4.754594,-5.408793,-5.669746,-5.043953,-5.458592,-5.590318,-6.640977,-5.898607,-6.392601,-5.353566,-4.738091,-4.889965,3.288369898,4.678960534,2.84226646,5.602418659,-5.277711,-5.364287667,-6.310728333,-4.993874,0.384935201,0.232807014,0.308551081,0.261788947,-0.086576667,-1.033017333,0.283837,-0.946440667,0.370413667,1.316854333,0.798963545,0.041501197,0.43716434,,+,,0.025751667,0.209163634,+,,0.010013199,+
GFJPDDAG_04069 Pullulanase,-11.6127,-11.63303,-10.69696,-16.36704,-14.80766,-14.20859,-14.72312,-13.19445,-14.42581,-15.37212,-14.70256,-15.05529,0.050096499,0.005383322,0.012720597,0.005286763,-11.31423,-15.12776333,-14.11446,-15.04332333,0.436554706,0.909789796,0.661771415,0.273477664,-3.813533333,-2.80023,-3.729093333,1.013303333,0.08444,-0.928863333,0.005907499,0.007516181,0.000513156,+,+,+,0.271721134,0.906033505,,,0.140489103,
