#Batch CD-search tool	NIH/NLM/NCBI											
#cdsid	QM3-qcdsearch-1D4DCAEC1C1DDBC2-317EA3B81877B768											
#datatype	hitsStandard Results											
#status	0											
#Start time	2019-06-07T14:37:35	Run time	0:00:06:46									
#status	success											
												
Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily		
Q#81 - >GFJPDDAG_04066 Cyclic di-GMP phosphodiesterase response regulator RpfG	superfamily	236577	240	397	3	1.40E-25	111	916	cl35865	pleD superfamily	N	 - 
Q#81 - >GFJPDDAG_04066 Cyclic di-GMP phosphodiesterase response regulator RpfG	specific	238032	434	561	2	9.60E-21	93	1728	cd00077	HDc	 - 	cl21469
Q#81 - >GFJPDDAG_04066 Cyclic di-GMP phosphodiesterase response regulator RpfG	superfamily	354822	434	561	2	9.60E-21	93	1728	cl21469	HDc superfamily	 - 	 - 
Q#81 - >GFJPDDAG_04066 Cyclic di-GMP phosphodiesterase response regulator RpfG	specific	334762	435	557	1	9.30E-14	72	2614	pfam01966	HD	 - 	cl21469
Q#81 - >GFJPDDAG_04066 Cyclic di-GMP phosphodiesterase response regulator RpfG	specific	214679	432	565	1	1.30E-12	67	7065	smart00471	HDc	 - 	cl21469
Q#81 - >GFJPDDAG_04066 Cyclic di-GMP phosphodiesterase response regulator RpfG	non-specific	272994	435	525	1	1.70E-05	46	1747	TIGR00277	HDIG	 - 	cl21469
Q#81 - >GFJPDDAG_04066 Cyclic di-GMP phosphodiesterase response regulator RpfG	non-specific	313128	32	226	0	134594	41	5043	pfam09843	DUF2070	C	cl26595
Q#81 - >GFJPDDAG_04066 Cyclic di-GMP phosphodiesterase response regulator RpfG	superfamily	331416	32	226	0	134594	41	5043	cl26595	DUF2070 superfamily	C	 - 
Q#81 - >GFJPDDAG_04066 Cyclic di-GMP phosphodiesterase response regulator RpfG	non-specific	184143	353	433	0	45133	36	6153	PRK13561	PRK13561	NC	cl32896
Q#81 - >GFJPDDAG_04066 Cyclic di-GMP phosphodiesterase response regulator RpfG	superfamily	184143	353	433	0	45133	36	6153	cl32896	PRK13561 superfamily	NC	 - 
Q#82 - >GFJPDDAG_04067 hypothetical protein	specific	339964	25	173	4	5.10E-45	148	558	pfam17248	DUF5317	 - 	cl38538
Q#82 - >GFJPDDAG_04067 hypothetical protein	superfamily	339964	25	173	4	5.10E-45	148	558	cl38538	DUF5317 superfamily	 - 	 - 
Q#83 - >GFJPDDAG_04068 hypothetical protein	specific	334159	46	142	8	3.30E-15	69	885	pfam00583	Acetyltransf_1	N	cl17182
Q#83 - >GFJPDDAG_04068 hypothetical protein	superfamily	354318	46	142	8	3.30E-15	69	885	cl17182	NAT_SF superfamily	N	 - 
Q#83 - >GFJPDDAG_04068 hypothetical protein	specific	173926	53	125	1	5.70E-12	61	908	cd04301	NAT_SF	 - 	cl17182
Q#83 - >GFJPDDAG_04068 hypothetical protein	non-specific	225695	54	163	4	7.00E-12	63	4579	COG3153	yhbS	N	cl17182
Q#83 - >GFJPDDAG_04068 hypothetical protein	non-specific	236088	54	112	5	5.00E-08	52	1188	PRK07757	PRK07757	NC	cl17182
Q#83 - >GFJPDDAG_04068 hypothetical protein	non-specific	273701	55	142	2	5.00E-05	41	9307	TIGR01575	rimI	N	cl36933
Q#83 - >GFJPDDAG_04068 hypothetical protein	superfamily	273701	55	142	2	5.00E-05	41	9307	cl36933	rimI superfamily	N	 - 
Q#84 - >GFJPDDAG_04069 Pullulanase	non-specific	273973	859	1850	0	1201	6	TIGR02102	pullulan_Gpos	 - 	cl37054	
Q#84 - >GFJPDDAG_04069 Pullulanase	superfamily	273973	859	1850	0	1201	6	cl37054	pullulan_Gpos superfamily	 - 	 - 	
Q#84 - >GFJPDDAG_04069 Pullulanase	specific	200480	1309	1744	1	9.70E-140	444	644	cd11341	AmyAc_Pullulanase_LD-like	 - 	cl07893
Q#84 - >GFJPDDAG_04069 Pullulanase	superfamily	352836	1309	1744	1	9.70E-140	444	644	cl07893	AmyAc_family superfamily	 - 	 - 
Q#84 - >GFJPDDAG_04069 Pullulanase	non-specific	224440	1166	1805	4	8.00E-136	443	708	COG1523	PulA	 - 	cl34294
Q#84 - >GFJPDDAG_04069 Pullulanase	superfamily	224440	1166	1805	4	8.00E-136	443	708	cl34294	PulA superfamily	 - 	 - 
Q#84 - >GFJPDDAG_04069 Pullulanase	non-specific	200478	353	709	1	5.30E-74	255	256	cd11339	AmyAc_bac_CMD_like_2	 - 	cl07893
Q#84 - >GFJPDDAG_04069 Pullulanase	superfamily	352836	353	709	1	5.30E-74	255	256	cl07893	AmyAc_family superfamily	 - 	 - 
Q#84 - >GFJPDDAG_04069 Pullulanase	non-specific	236543	350	780	9	4.10E-74	263	836	PRK09505	malS	N	cl35845
Q#84 - >GFJPDDAG_04069 Pullulanase	superfamily	236543	350	780	9	4.10E-74	263	836	cl35845	malS superfamily	N	 - 
Q#84 - >GFJPDDAG_04069 Pullulanase	non-specific	215474	1164	1723	3	7.00E-62	235	46	PLN02877	PLN02877	N	cl33588
Q#84 - >GFJPDDAG_04069 Pullulanase	superfamily	215474	1164	1723	3	7.00E-62	235	46	cl33588	PLN02877 superfamily	N	 - 
Q#84 - >GFJPDDAG_04069 Pullulanase	non-specific	333862	390	709	2	3.70E-53	193	722	pfam00128	Alpha-amylase	 - 	cl37965
Q#84 - >GFJPDDAG_04069 Pullulanase	superfamily	333862	390	709	2	3.70E-53	193	722	cl37965	Alpha-amylase superfamily	 - 	 - 
Q#84 - >GFJPDDAG_04069 Pullulanase	specific	223443	354	797	5	8.10E-52	194	824	COG0366	AmyA	 - 	cl33851
Q#84 - >GFJPDDAG_04069 Pullulanase	superfamily	223443	354	797	5	8.10E-52	194	824	cl33851	AmyA superfamily	 - 	 - 
Q#84 - >GFJPDDAG_04069 Pullulanase	specific	214758	358	491	5	2.10E-38	143	239	smart00642	Aamy	C	cl07893
Q#84 - >GFJPDDAG_04069 Pullulanase	specific	335438	864	963	1	2.90E-27	110	953	pfam03714	PUD	 - 	cl04227
Q#84 - >GFJPDDAG_04069 Pullulanase	superfamily	352132	864	963	1	2.90E-27	110	953	cl04227	CBM41_pullulanase superfamily	 - 	 - 
Q#84 - >GFJPDDAG_04069 Pullulanase	non-specific	274140	353	824	1	1.10E-22	107	527	TIGR02456	treS_nterm	 - 	cl37116
Q#84 - >GFJPDDAG_04069 Pullulanase	superfamily	274140	353	824	1	1.10E-22	107	527	cl37116	treS_nterm superfamily	 - 	 - 
Q#84 - >GFJPDDAG_04069 Pullulanase	specific	199215	47	142	1	2.30E-11	65	4313	cd10315	CBM41_pullulanase	 - 	cl04227
Q#84 - >GFJPDDAG_04069 Pullulanase	superfamily	352132	47	142	1	2.30E-11	65	4313	cl04227	CBM41_pullulanase superfamily	 - 	 - 
Q#84 - >GFJPDDAG_04069 Pullulanase	non-specific	214758	1336	1441	4	9.20E-09	60	355	smart00642	Aamy	C	cl07893
Q#84 - >GFJPDDAG_04069 Pullulanase	specific	335438	53	142	2	6.60E-04	44	6988	pfam03714	PUD	 - 	cl04227
Q#86 - >GFJPDDAG_04071 hypothetical protein	specific	238868	210	407	1	1.30E-89	272	193	cd01830	XynE_like	 - 	cl01053
Q#86 - >GFJPDDAG_04071 hypothetical protein	superfamily	351360	210	407	1	1.30E-89	272	193	cl01053	SGNH_hydrolase superfamily	 - 	 - 
Q#86 - >GFJPDDAG_04071 hypothetical protein	specific	338764	213	398	1	9.20E-12	66	6867	pfam13472	Lipase_GDSL_2	 - 	cl01053
Q#86 - >GFJPDDAG_04071 hypothetical protein	specific	225353	209	403	2	5.70E-10	62	6146	COG2755	TesA	 - 	cl01053
Q#88 - >GFJPDDAG_04098 Transcriptional regulator CtsR	specific	336222	3	145	1	9.70E-77	228	454	pfam05848	CtsR	 - 	cl01850
Q#88 - >GFJPDDAG_04098 Transcriptional regulator CtsR	superfamily	351617	3	145	1	9.70E-77	228	454	cl01850	CtsR superfamily	 - 	 - 
Q#88 - >GFJPDDAG_04098 Transcriptional regulator CtsR	specific	226869	1	152	2	8.80E-72	216	89	COG4463	CtsR	 - 	cl01850
Q#89 - >GFJPDDAG_04099 Protein-arginine kinase activator protein	non-specific	226397	1	177	5	3.10E-59	184	606	COG3880	McsA	 - 	cl27457
Q#89 - >GFJPDDAG_04099 Protein-arginine kinase activator protein	superfamily	226397	1	177	5	3.10E-59	184	606	cl27457	McsA superfamily	 - 	 - 
Q#89 - >GFJPDDAG_04099 Protein-arginine kinase activator protein	specific	308001	138	173	1	6.90E-05	42	7688	pfam02151	UVR	 - 	cl12262
Q#89 - >GFJPDDAG_04099 Protein-arginine kinase activator protein	superfamily	308001	138	173	1	6.90E-05	42	7688	cl12262	UVR superfamily	 - 	 - 
Q#89 - >GFJPDDAG_04099 Protein-arginine kinase activator protein	non-specific	273185	138	171	1	2.70E-04	44	2089	TIGR00631	uvrb	N	cl36712
Q#89 - >GFJPDDAG_04099 Protein-arginine kinase activator protein	superfamily	273185	138	171	1	2.70E-04	44	2089	cl36712	uvrb superfamily	N	 - 
Q#89 - >GFJPDDAG_04099 Protein-arginine kinase activator protein	non-specific	235395	137	176	1	4.90E-04	44	2681	PRK05298	PRK05298	N	cl35302
Q#89 - >GFJPDDAG_04099 Protein-arginine kinase activator protein	superfamily	235395	137	176	1	4.90E-04	44	2681	cl35302	PRK05298 superfamily	N	 - 
Q#90 - >GFJPDDAG_04100 Protein-arginine kinase	specific	234894	5	348	0	559	56	PRK01059	PRK01059	 - 	cl29006	
Q#90 - >GFJPDDAG_04100 Protein-arginine kinase	superfamily	234894	5	348	0	559	56	cl29006	PRK01059 superfamily	 - 	 - 	
Q#90 - >GFJPDDAG_04100 Protein-arginine kinase	specific	226387	2	351	6	8.30E-174	489	625	COG3869	McsB	 - 	cl29007
Q#90 - >GFJPDDAG_04100 Protein-arginine kinase	superfamily	226387	2	351	6	8.30E-174	489	625	cl29007	McsB superfamily	 - 	 - 
Q#90 - >GFJPDDAG_04100 Protein-arginine kinase	specific	153077	22	254	5	9.90E-135	386	95	cd07930	bacterial_phosphagen_kinase	 - 	cl02823
Q#90 - >GFJPDDAG_04100 Protein-arginine kinase	superfamily	351903	22	254	5	9.90E-135	386	95	cl02823	phosphagen_kinases superfamily	 - 	 - 
Q#90 - >GFJPDDAG_04100 Protein-arginine kinase	specific	333933	52	254	7	2.40E-99	293	693	pfam00217	ATP-gua_Ptrans	 - 	cl02823
Q#91 - >GFJPDDAG_04101 Negative regulator of genetic competence ClpC/MecB	specific	214361	2	799	0	1152	88	CHL00095	clpC	 - 	cl33329	
Q#91 - >GFJPDDAG_04101 Negative regulator of genetic competence ClpC/MecB	superfamily	214361	2	799	0	1152	88	cl33329	clpC superfamily	 - 	 - 	
Q#91 - >GFJPDDAG_04101 Negative regulator of genetic competence ClpC/MecB	specific	223616	5	808	0	1148	56	COG0542	ClpA	 - 	cl33938	
Q#91 - >GFJPDDAG_04101 Negative regulator of genetic competence ClpC/MecB	superfamily	223616	5	808	0	1148	56	cl33938	ClpA superfamily	 - 	 - 	
Q#91 - >GFJPDDAG_04101 Negative regulator of genetic competence ClpC/MecB	non-specific	274529	6	802	0	1080	36	TIGR03346	chaperone_ClpB	 - 	cl37251	
Q#91 - >GFJPDDAG_04101 Negative regulator of genetic competence ClpC/MecB	superfamily	274529	6	802	0	1080	36	cl37251	chaperone_ClpB superfamily	 - 	 - 	
Q#91 - >GFJPDDAG_04101 Negative regulator of genetic competence ClpC/MecB	specific	336783	536	708	1	3.60E-95	297	956	pfam07724	AAA_2	 - 	cl38243
Q#91 - >GFJPDDAG_04101 Negative regulator of genetic competence ClpC/MecB	superfamily	336783	536	708	1	3.60E-95	297	956	cl38243	AAA_2 superfamily	 - 	 - 
Q#91 - >GFJPDDAG_04101 Negative regulator of genetic competence ClpC/MecB	specific	198154	714	803	6	2.30E-29	113	307	smart01086	ClpB_D2-small	 - 	cl29154
Q#91 - >GFJPDDAG_04101 Negative regulator of genetic competence ClpC/MecB	superfamily	356030	714	803	6	2.30E-29	113	307	cl29154	ClpB_D2-small superfamily	 - 	 - 
Q#91 - >GFJPDDAG_04101 Negative regulator of genetic competence ClpC/MecB	specific	99707	183	335	5	5.40E-19	87	2015	cd00009	AAA	 - 	cl21455
Q#91 - >GFJPDDAG_04101 Negative regulator of genetic competence ClpC/MecB	superfamily	354812	183	335	5	5.40E-19	87	2015	cl21455	P-loop_NTPase superfamily	 - 	 - 
Q#92 - >GFJPDDAG_04102 DNA repair protein RadA	specific	236994	1	458	0	835	899	PRK11823	PRK11823	 - 	cl28885	
Q#92 - >GFJPDDAG_04102 DNA repair protein RadA	superfamily	355771	1	458	0	835	899	cl28885	RecA-like_NTPases superfamily	 - 	 - 	
Q#92 - >GFJPDDAG_04102 DNA repair protein RadA	specific	223993	1	457	0	752	9	COG1066	Sms	 - 	cl34087	
Q#92 - >GFJPDDAG_04102 DNA repair protein RadA	superfamily	223993	1	457	0	752	9	cl34087	Sms superfamily	 - 	 - 	
Q#92 - >GFJPDDAG_04102 DNA repair protein RadA	non-specific	273067	1	452	0	676	902	TIGR00416	sms	 - 	cl36645	
Q#92 - >GFJPDDAG_04102 DNA repair protein RadA	superfamily	273067	1	452	0	676	902	cl36645	sms superfamily	 - 	 - 	
Q#92 - >GFJPDDAG_04102 DNA repair protein RadA	specific	238541	8	381	0	615	79	cd01121	Sms	 - 	cl28885	
Q#92 - >GFJPDDAG_04102 DNA repair protein RadA	non-specific	316042	72	223	1	3.00E-14	72	4133	pfam13481	AAA_25	 - 	cl21455
Q#92 - >GFJPDDAG_04102 DNA repair protein RadA	superfamily	354812	72	223	1	3.00E-14	72	4133	cl21455	P-loop_NTPase superfamily	 - 	 - 
Q#92 - >GFJPDDAG_04102 DNA repair protein RadA	specific	214640	90	241	4	3.00E-14	69	3245	smart00382	AAA	 - 	cl30760
Q#92 - >GFJPDDAG_04102 DNA repair protein RadA	superfamily	357636	90	241	4	3.00E-14	69	3245	cl30760	AAA superfamily	 - 	 - 
Q#93 - >GFJPDDAG_04103 DNA integrity scanning protein DisA	specific	237395	7	357	0	558	625	PRK13482	PRK13482	 - 	cl26502	
Q#93 - >GFJPDDAG_04103 DNA integrity scanning protein DisA	superfamily	355524	7	357	0	558	625	cl26502	DisA-linker superfamily	 - 	 - 	
Q#93 - >GFJPDDAG_04103 DNA integrity scanning protein DisA	non-specific	224538	1	348	5	8.70E-166	469	177	COG1623	DisA	 - 	cl34323
Q#93 - >GFJPDDAG_04103 DNA integrity scanning protein DisA	superfamily	224538	1	348	5	8.70E-166	469	177	cl34323	DisA superfamily	 - 	 - 
Q#93 - >GFJPDDAG_04103 DNA integrity scanning protein DisA	specific	337814	143	281	7	6.70E-59	189	223	pfam10635	DisA-linker	 - 	cl26502
Q#93 - >GFJPDDAG_04103 DNA integrity scanning protein DisA	non-specific	129263	23	137	0	908605	39	7975	TIGR00159	TIGR00159	N	cl27421
Q#93 - >GFJPDDAG_04103 DNA integrity scanning protein DisA	superfamily	355651	23	137	0	908605	39	7975	cl27421	DisA_N superfamily	N	 - 
Q#94 - >GFJPDDAG_04104 putative PIN and TRAM-domain containing protein YacL	specific	227292	1	357	0	508	36	COG4956	COG4956	 - 	cl25474	
Q#94 - >GFJPDDAG_04104 putative PIN and TRAM-domain containing protein YacL	superfamily	227292	1	357	0	508	36	cl25474	COG4956 superfamily	 - 	 - 	
Q#94 - >GFJPDDAG_04104 putative PIN and TRAM-domain containing protein YacL	specific	350225	165	291	1	3.00E-74	226	912	cd09877	PIN_YacL-like	 - 	cl28905
Q#94 - >GFJPDDAG_04104 putative PIN and TRAM-domain containing protein YacL	superfamily	355781	165	291	1	3.00E-74	226	912	cl28905	PIN_SF superfamily	 - 	 - 
Q#94 - >GFJPDDAG_04104 putative PIN and TRAM-domain containing protein YacL	non-specific	184311	166	280	3	7.90E-09	61	81	PRK13764	PRK13764	C	cl32929
Q#94 - >GFJPDDAG_04104 putative PIN and TRAM-domain containing protein YacL	superfamily	184311	166	280	3	7.90E-09	61	81	cl32929	PRK13764 superfamily	C	 - 
Q#94 - >GFJPDDAG_04104 putative PIN and TRAM-domain containing protein YacL	specific	214771	165	270	1	9.90E-07	51	6557	smart00670	PINc	 - 	cl28905
Q#94 - >GFJPDDAG_04104 putative PIN and TRAM-domain containing protein YacL	specific	334710	166	272	9	8.00E-06	47	155	pfam01850	PIN	 - 	cl28905
Q#95 - >GFJPDDAG_04105 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	specific	234670	1	224	2	3.00E-106	305	904	PRK00155	ispD	 - 	cl11394
Q#95 - >GFJPDDAG_04105 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	superfamily	353239	1	224	2	3.00E-106	305	904	cl11394	Glyco_tranf_GTA_type superfamily	 - 	 - 
Q#95 - >GFJPDDAG_04105 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	specific	133009	5	217	3	8.10E-95	279	794	cd02516	CDP-ME_synthetase	 - 	cl11394
Q#95 - >GFJPDDAG_04105 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	specific	224132	1	223	1	1.30E-88	263	693	COG1211	IspD	 - 	cl11394
Q#95 - >GFJPDDAG_04105 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	specific	213532	5	221	3	1.60E-87	259	527	TIGR00453	ispD	 - 	cl11394
Q#95 - >GFJPDDAG_04105 2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	non-specific	334395	5	223	3	6.60E-81	244	278	pfam01128	IspD	 - 	cl11394
"Q#96 - >GFJPDDAG_04106 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase"	specific	334963	2	155	7	5.90E-104	295	771	pfam02542	YgbB	 - 	cl10030
"Q#96 - >GFJPDDAG_04106 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase"	superfamily	353048	2	155	7	5.90E-104	295	771	cl10030	MECDP_synthase superfamily	 - 	 - 
"Q#96 - >GFJPDDAG_04106 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase"	specific	178851	1	158	7	1.80E-100	286	238	PRK00084	ispF	 - 	cl10030
"Q#96 - >GFJPDDAG_04106 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase"	specific	100025	3	155	8	2.20E-93	268	159	cd00554	MECDP_synthase	 - 	cl10030
"Q#96 - >GFJPDDAG_04106 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase"	specific	223323	2	158	1	8.00E-90	262	516	COG0245	IspF	 - 	cl10030
"Q#96 - >GFJPDDAG_04106 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase"	specific	129255	3	157	4	3.00E-90	261	455	TIGR00151	ispF	 - 	cl10030
Q#97 - >GFJPDDAG_04107 Glutamate--tRNA ligase	specific	234953	1	484	0	746	532	PRK01406	gltX	 - 	cl35156	
Q#97 - >GFJPDDAG_04107 Glutamate--tRNA ligase	superfamily	234953	1	484	0	746	532	cl35156	gltX superfamily	 - 	 - 	
Q#97 - >GFJPDDAG_04107 Glutamate--tRNA ligase	specific	273092	4	481	0	639	14	TIGR00464	gltX_bact	 - 	cl36666	
Q#97 - >GFJPDDAG_04107 Glutamate--tRNA ligase	superfamily	273092	4	481	0	639	14	cl36666	gltX_bact superfamily	 - 	 - 	
Q#97 - >GFJPDDAG_04107 Glutamate--tRNA ligase	specific	223087	1	480	0	554	623	COG0008	GlnS	 - 	cl00015	
Q#97 - >GFJPDDAG_04107 Glutamate--tRNA ligase	superfamily	350862	1	480	0	554	623	cl00015	nt_trans superfamily	 - 	 - 	
Q#97 - >GFJPDDAG_04107 Glutamate--tRNA ligase	non-specific	279135	4	323	2	8.10E-145	420	572	pfam00749	tRNA-synt_1c	 - 	cl00015
Q#97 - >GFJPDDAG_04107 Glutamate--tRNA ligase	specific	173905	4	331	9	6.10E-138	398	498	cd00808	GluRS_core	 - 	cl00015
Q#98 - >GFJPDDAG_04108 Serine acetyltransferase	specific	223975	1	193	3	4.70E-100	290	753	COG1045	CysE	 - 	cl34080
Q#98 - >GFJPDDAG_04108 Serine acetyltransferase	superfamily	223975	1	193	3	4.70E-100	290	753	cl34080	CysE superfamily	 - 	 - 
Q#98 - >GFJPDDAG_04108 Serine acetyltransferase	specific	200082	6	166	7	7.60E-99	286	112	TIGR01172	cysE	 - 	cl33255
Q#98 - >GFJPDDAG_04108 Serine acetyltransferase	superfamily	200082	6	166	7	7.60E-99	286	112	cl33255	cysE superfamily	 - 	 - 
Q#98 - >GFJPDDAG_04108 Serine acetyltransferase	specific	100045	64	164	1	6.90E-55	174	165	cd03354	LbH_SAT	 - 	cl00160
Q#98 - >GFJPDDAG_04108 Serine acetyltransferase	superfamily	350925	64	164	1	6.90E-55	174	165	cl00160	LbetaH superfamily	 - 	 - 
Q#98 - >GFJPDDAG_04108 Serine acetyltransferase	non-specific	182987	1	168	2	9.00E-54	176	811	PRK11132	cysE	N	cl32645
Q#98 - >GFJPDDAG_04108 Serine acetyltransferase	superfamily	182987	1	168	2	9.00E-54	176	811	cl32645	cysE superfamily	N	 - 
Q#98 - >GFJPDDAG_04108 Serine acetyltransferase	non-specific	198039	8	35	0	110906	37	1336	smart00971	SATase_N	N	cl05762
Q#98 - >GFJPDDAG_04108 Serine acetyltransferase	superfamily	352403	8	35	0	110906	37	1336	cl05762	SATase_N superfamily	N	 - 
Q#98 - >GFJPDDAG_04108 Serine acetyltransferase	non-specific	336400	4	35	0	115042	37	552	pfam06426	SATase_N	N	cl05762
Q#99 - >GFJPDDAG_04109 Cysteine--tRNA ligase	specific	234705	1	465	0	807	23	PRK00260	cysS	 - 	cl35082	
Q#99 - >GFJPDDAG_04109 Cysteine--tRNA ligase	superfamily	234705	1	465	0	807	23	cl35082	cysS superfamily	 - 	 - 	
Q#99 - >GFJPDDAG_04109 Cysteine--tRNA ligase	specific	223293	2	465	0	703	988	COG0215	CysS	 - 	cl33807	
Q#99 - >GFJPDDAG_04109 Cysteine--tRNA ligase	superfamily	223293	2	465	0	703	988	cl33807	CysS superfamily	 - 	 - 	
Q#99 - >GFJPDDAG_04109 Cysteine--tRNA ligase	specific	273076	3	464	0	651	755	TIGR00435	cysS	 - 	cl36653	
Q#99 - >GFJPDDAG_04109 Cysteine--tRNA ligase	superfamily	273076	3	464	0	651	755	cl36653	cysS superfamily	 - 	 - 	
Q#99 - >GFJPDDAG_04109 Cysteine--tRNA ligase	specific	279714	15	314	0	518	462	pfam01406	tRNA-synt_1e	 - 	cl30065	
Q#99 - >GFJPDDAG_04109 Cysteine--tRNA ligase	superfamily	279714	15	314	0	518	462	cl30065	tRNA-synt_1e superfamily	 - 	 - 	
Q#99 - >GFJPDDAG_04109 Cysteine--tRNA ligase	specific	173899	4	305	5	6.20E-124	361	897	cd00672	CysRS_core	 - 	cl00015
Q#99 - >GFJPDDAG_04109 Cysteine--tRNA ligase	superfamily	350862	4	305	5	6.20E-124	361	897	cl00015	nt_trans superfamily	 - 	 - 
Q#99 - >GFJPDDAG_04109 Cysteine--tRNA ligase	specific	214848	353	409	1	1.00E-14	67	9778	smart00840	DALR_2	 - 	cl12020
Q#99 - >GFJPDDAG_04109 Cysteine--tRNA ligase	superfamily	353341	353	409	1	1.00E-14	67	9778	cl12020	Anticodon_Ia_like superfamily	 - 	 - 
Q#100 - >GFJPDDAG_04110 Mini-ribonuclease 3	specific	224850	9	131	7	6.60E-58	178	278	COG1939	MrnC	 - 	cl00258
Q#100 - >GFJPDDAG_04110 Mini-ribonuclease 3	superfamily	350987	9	131	7	6.60E-58	178	278	cl00258	RIBOc superfamily	 - 	 - 
Q#100 - >GFJPDDAG_04110 Mini-ribonuclease 3	specific	334184	17	115	2	7.40E-25	94	649	pfam00636	Ribonuclease_3	 - 	cl00258
Q#100 - >GFJPDDAG_04110 Mini-ribonuclease 3	specific	238333	19	131	3	4.00E-08	51	4595	cd00593	RIBOc	 - 	cl00258
Q#100 - >GFJPDDAG_04110 Mini-ribonuclease 3	non-specific	197778	18	135	1	4.40E-07	49	5244	smart00535	RIBOc	 - 	cl00258
Q#101 - >GFJPDDAG_04111 Putative TrmH family tRNA/rRNA methyltransferase	specific	129290	4	242	6	7.00E-98	288	88	TIGR00186	rRNA_methyl_3	 - 	cl30979
Q#101 - >GFJPDDAG_04111 Putative TrmH family tRNA/rRNA methyltransferase	superfamily	129290	4	242	6	7.00E-98	288	88	cl30979	rRNA_methyl_3 superfamily	 - 	 - 
Q#101 - >GFJPDDAG_04111 Putative TrmH family tRNA/rRNA methyltransferase	specific	223640	3	245	2	1.30E-91	272	238	COG0566	SpoU	 - 	cl33952
Q#101 - >GFJPDDAG_04111 Putative TrmH family tRNA/rRNA methyltransferase	superfamily	223640	3	245	2	1.30E-91	272	238	cl33952	SpoU superfamily	 - 	 - 
Q#101 - >GFJPDDAG_04111 Putative TrmH family tRNA/rRNA methyltransferase	specific	349976	96	238	1	9.50E-83	247	683	cd18103	SpoU-like_RlmB	 - 	cl38912
Q#101 - >GFJPDDAG_04111 Putative TrmH family tRNA/rRNA methyltransferase	superfamily	365788	96	238	1	9.50E-83	247	683	cl38912	SPOUT_MTase superfamily	 - 	 - 
Q#101 - >GFJPDDAG_04111 Putative TrmH family tRNA/rRNA methyltransferase	non-specific	183021	25	242	6	9.10E-71	219	453	PRK11181	PRK11181	 - 	cl32657
Q#101 - >GFJPDDAG_04111 Putative TrmH family tRNA/rRNA methyltransferase	superfamily	183021	25	242	6	9.10E-71	219	453	cl32657	PRK11181 superfamily	 - 	 - 
Q#101 - >GFJPDDAG_04111 Putative TrmH family tRNA/rRNA methyltransferase	specific	334162	95	236	5	1.00E-55	173	91	pfam00588	SpoU_methylase	 - 	cl21505
Q#101 - >GFJPDDAG_04111 Putative TrmH family tRNA/rRNA methyltransferase	superfamily	354844	95	236	5	1.00E-55	173	91	cl21505	SpoU_methylase superfamily	 - 	 - 
Q#101 - >GFJPDDAG_04111 Putative TrmH family tRNA/rRNA methyltransferase	specific	214943	6	75	4	3.90E-15	70	2576	smart00967	SpoU_sub_bind	 - 	cl06870
Q#101 - >GFJPDDAG_04111 Putative TrmH family tRNA/rRNA methyltransferase	superfamily	323649	6	75	4	3.90E-15	70	2576	cl06870	SpoU_sub_bind superfamily	 - 	 - 
Q#102 - >GFJPDDAG_04112 hypothetical protein	non-specific	226213	1	168	3	4.00E-78	232	268	COG3688	YacP	 - 	cl01491
Q#102 - >GFJPDDAG_04112 hypothetical protein	superfamily	321527	1	168	3	4.00E-78	232	268	cl01491	NYN_YacP superfamily	 - 	 - 
Q#102 - >GFJPDDAG_04112 hypothetical protein	specific	310524	4	166	1	7.00E-78	230	906	pfam05991	NYN_YacP	 - 	cl01491
Q#102 - >GFJPDDAG_04112 hypothetical protein	specific	350236	3	141	2	1.10E-65	198	938	cd10912	PIN_YacP-like	 - 	cl28905
Q#102 - >GFJPDDAG_04112 hypothetical protein	superfamily	355781	3	141	2	1.10E-65	198	938	cl28905	PIN_SF superfamily	 - 	 - 
Q#103 - >GFJPDDAG_04113 RNA polymerase sigma-H factor	specific	181361	14	216	6	7.00E-128	361	533	PRK08295	PRK08295	 - 	cl32289
Q#103 - >GFJPDDAG_04113 RNA polymerase sigma-H factor	superfamily	181361	14	216	6	7.00E-128	361	533	cl32289	PRK08295 superfamily	 - 	 - 
Q#103 - >GFJPDDAG_04113 RNA polymerase sigma-H factor	non-specific	131906	14	211	2	8.00E-118	334	46	TIGR02859	spore_sigH	 - 	cl31258
Q#103 - >GFJPDDAG_04113 RNA polymerase sigma-H factor	superfamily	131906	14	211	2	8.00E-118	334	46	cl31258	spore_sigH superfamily	 - 	 - 
